Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
"SPARTIVENTO SNC DEI DR.I BIANCAPAOLA PETTINELLA, LANZELLOTTI F. E F.","Via A. Piola Caselli, 82/b-c",00122,Roma,Roma (RM),Lazio,F/9580,07260581009
EMILIANI ANTONIO MARIA,"Via S. Elpidio a Mare, 21",00010,Roma,Roma (RM),Lazio,F/9330,07078810582
ANGELONI GIOVANNA,"Via La Spezia, 96/98",00182,Roma,Roma (RM),Lazio,F/9513,09016731003
EREDI DE LAURENZI DELLE DR.SSE ANNA E LUCIA PERETTI & C. SNC,"Via Mura dei Francesi, 23",00043,Ciampino,Roma (RM),Lazio,F/10042,05970251004
EREDI DI VINCENTI MARCELLO TOMMASO,"Piazza della Rovere, 2/C",00122,Roma,Roma (RM),Lazio,F/9651,07289721008
ROSA BARBARA,"Via Tommaso da Celano, 122",00179,Roma,Roma (RM),Lazio,F/9548,11151231005
EREDI ZAMPONI PAOLO MARIA,"Via dei Colombi, 84/A",00169,Roma,Roma (RM),Lazio,F/9400,07133761002
MITIDIERI ATTILIO,"Via Provinciale, 18",00060,Nazzano,Roma (RM),Lazio,F/9836,08723231000
PIAZZA REGINA MARGHERITA DEL DOTT. EMILIO MANFREDI,"Viale Regina Margherita, 221/223",00198,Roma,Roma (RM),Lazio,F/9097,11118071007
MINELLI SNC DEI DR.I GIOVANNA E MICHELE MINELLI,"Piazza Rivarola, 8",00019,Tivoli,Roma (RM),Lazio,F/9937,07745301007
MOLAJONI SNC-CLELIA & MARCO MOLAJONI,"Via dei Durantini, 350-350/a",00157,Roma,Roma (RM),Lazio,F/9363,04850871007
MOLINARI FRANCO,"Piazza Mazzini, 34",00049,Velletri,Roma (RM),Lazio,F/9978,00437731003
EREDI DR. G.C. MONTAGNA DI FEDERICA COLLEGATI E FRANCESCA MONTAGNA SNC,"Via C. Ricotti, 42",00159,Roma,Roma (RM),Lazio,F/9316,03445430584
MORREALE GIUSEPPE,"Via Tuscolana, 344",00181,Roma,Roma (RM),Lazio,F/9423,01275700589
MOSCA MASSIMO,"Via delle Galline Bianche, snc",00188,Roma,Roma (RM),Lazio,F/9770,10271290586
LORPHARMA SAS DI SAVERIO MOZZETTI & C.,"Via Donna Olimpia, 23",00152,Roma,Roma (RM),Lazio,F/9627,04571831009
LORPHARMA SAS DI MOZZETTI SAVERIO & C.,"Via Camillo Serafini, 28",00164,Roma,Roma (RM),Lazio,F/9592,02154810580
CELIMONTANA DI ROCCO POLIMENI,"Via Celimontana, 9/a",00184,Roma,Roma (RM),Lazio,F/9136,13208771009
NAZIONALE,"Via Augusto Lupi, 38/40",00169,Roma,Roma (RM),Lazio,F/9390,06077091004
NEGRI DR. MASSIMO,"Via Fausti, 5",00062,Bracciano,Roma (RM),Lazio,F/9804,13863571009
QUIRINALE DR.SSA NISI MARIA CRISTINA,"Via Milano, 54",00184,Roma,Roma (RM),Lazio,F/9152,05271620584
NOCERINO DOTT. GUIDO SNC,"Largo Giannina Milli, 17-18-18/a",00135,Roma,Roma (RM),Lazio,F/9695,13228671007
LA TORRACCIA SNC DI ORLANDI LUCIANA E CIDONIO GIOVANNA,"Via Donato Menichella, 132",00156,Roma,Roma (RM),Lazio,F/9326,08756111004
OSTIENSE SNC DI ANGELI MASSIMO E OLIVIERI ANTONIO,"Via Ostiense, 85-85/A",00154,Roma,Roma (RM),Lazio,F/9543,06023681007
COLLE AURELIO DOTT. IGNAZIO PAGANO MARIANO,"Via Baldo degli Ubaldi, 97",00167,Roma,Roma (RM),Lazio,F/9755,09868540585
FARMACIA DELLA STAZIONE Di PAGLIACCI PIERPAOLO,"Via Nettunense, 299",00040,Anzio,Roma (RM),Lazio,F/9999,13586091004
CALO' MICAELA,"Largo Esopo, 20",00124,Roma,Roma (RM),Lazio,F/9582,10698061008
PALOMBI DAVID,"Piazza S. Sebastiano, 12",00021,Affile,Roma (RM),Lazio,F/9858,00575751003
PALOMBO VINCENZO,"Corso Centocelle, 24/26",00053,Civitavecchia,Roma (RM),Lazio,F/9172,06994791009
PANGIA RAFFAELE VINCENZO,"Via F. Bulgarini, 28",00019,Tivoli,Roma (RM),Lazio,F/9934,05381141000
Passarella Nunziato,"Piazza Dante Alighieri, 9",00072,Ariccia,Roma (RM),Lazio,F/10049,03698800657
PASSARETTA ADA,"Via Enrico Fermi, 1/3/5",00146,Roma,Roma (RM),Lazio,F/9600,06214480581
SPINACETO SAS DELLA D.SSA MARIA RITA VIGLIOTTA & C.,"Viale Eroi di Cefalonia, 109",00128,Roma,Roma (RM),Lazio,F/9545,05990111006
TACCONI SILVIA,"Corso Trieste, 3",00047,Marino,Roma (RM),Lazio,F/9959,09587041006
TAGLIAVINI DI CIANCI FRANCESCA E GIUDITTA E C. SAS,"Via Priscilla, 77/79",00199,Roma,Roma (RM),Lazio,F/9113,13654031007
TERRONE SNC,"Piazza F. Patellani, snc",00038,Valmontone,Roma (RM),Lazio,F/9908,13264951008
EUROPA DI TIMPANO UGO & C. SNC,"Via Cicerone, 2",00042,Anzio,Roma (RM),Lazio,F/10010,03833781002
TONINELLI SIMONETTA,"Via A. Valenzani, 20",00187,Roma,Roma (RM),Lazio,F/9192,08393070589
TORELLI DEL DR. GUIDO TORELLI E C. SAS,"Via del Trullo, 294-296",00148,Roma,Roma (RM),Lazio,F/9563,09600211008
TORRESI EREDI DOTT. GIOVANNI TORRESI,"Via Cerveteri, 5/7/9/11",00183,Roma,Roma (RM),Lazio,F/9405,13878511008
TRECCA SNC DI FLAVIA E ILARIA MASTRANGELI,"Via Emanuele Filiberto, 145",00185,Roma,Roma (RM),Lazio,F/9145,13556491002
TURCO STEFANO,"Via Danimarca, 185/187",00040,Pomezia,Roma (RM),Lazio,F/10006,09101151000
SCACCIAPENSIERI,"Via della Liberazione, 78",00048,Nettuno,Roma (RM),Lazio,F/9990,07494501005
VALENTINI MASSIMO,"Via G.Antamoro, 86/b",00137,Roma,Roma (RM),Lazio,F/9114,00825481005
VALLE MASSIMO,"Via G. Ciaralli, 13",00156,Roma,Roma (RM),Lazio,F/9176,07293750589
VECCHIARINO GIUSEPPE,"Piazzale Giovanni XXIII, snc",00020,Cervara di roma,Roma (RM),Lazio,F/9953,07319041005
VILLAGGIO AZZURRO SNC DEL DR. MURDOCCO PAOLO & C.,"Largo Filippo Juvara, 5",00128,Roma,Roma (RM),Lazio,F/9462,07114990588
FARMACIA ZAFFIRI DEL DOTT. ZAFFIRI G.M. & C. SNC,"Via di Pietralata, 511",00158,Roma,Roma (RM),Lazio,F/9300,14102581007
ZANOBI AIDA,"Piazza A.F.Doria Pamphili, 14",00149,Roma,Roma (RM),Lazio,F/9584,03261470581
Ziaco Maria Pia,"Via Roma, 123",00040,Pomezia,Roma (RM),Lazio,F/10004,00847431004
ZUCCARELLO SALVATORE,"Via Gramsci, 42",00026,Licenza,Roma (RM),Lazio,F/9926,09931980586
FARMACIA PICONE DOTT.SSA ANNAPAOLA,"Via Romana, 165",00060,Mazzano romano,Roma (RM),Lazio,F/9806,02221490564
MAZZEI STEFANO,"Viale Angelico, 79",00195,Roma,Roma (RM),Lazio,F/9787,07104801001
TUPPUTI PAOLO,"Via Roberto Malatesta, 35",00176,Roma,Roma (RM),Lazio,F/9427,10417101002
MERULANA DI G. GUERRA-B. DEL PIO SNC,"Via Merulana, 185/187",00185,Roma,Roma (RM),Lazio,F/9211,04211761004
CASALBERTONE DELLA DR.SSA FILARDI GEMMA,"Via A. Baldissera, 1/c",00159,Roma,Roma (RM),Lazio,F/9317,13479801006
ROMANINA DELLA DR.SSA MAGALI STEINDLER & C. SAS,"Via Ponte delle Sette Miglia, 35",00173,Roma,Roma (RM),Lazio,F/9383,09394311006
MORREALE MARCO,"Via del Tritone, 16",00187,Roma,Roma (RM),Lazio,F/9234,09823070587
DIVINO AMORE SNC,"Via Davide Carazzi, 31",00134,Roma,Roma (RM),Lazio,F/9523,09823070587
SAN FRANCESCO DOTT.SSA FRANCESCA DONATI,"Via Valtellina, 94",00151,Roma,Roma (RM),Lazio,F/9610,12989621003
BONANZINGA VITTORIA,"Via Casilina, 1914/c",00132,Roma,Roma (RM),Lazio,F/9328,01219680830
DUE PINI DR.SSA GALLI MARIA ROSARIA,"Via del Golf, 12",00194,Roma,Roma (RM),Lazio,F/10484,07378321009
ANTICA FARMACIA TORRE ARGENTINA SAS DI BORBOTTI GIUSEPPINA,"Largo Arenula, 36",00186,Roma,Roma (RM),Lazio,F/9106,10017011007
SALUCCI ALDO,"Via Brennero, 24/26",00013,Fonte nuova,Roma (RM),Lazio,F/9909,10653101005
GABRIELE GIUSEPPE,"Via Roma, 14",00020,Ciciliano,Roma (RM),Lazio,F/9874,03642290716
BERTI ANNA,"Via IV Novembre, 97/B",00010,Montorio romano,Roma (RM),Lazio,F/9902,00052761004
CASE ROSSE DEL DOTT. GINALDO FRANCO E C. SAS,"Via Castropignano, 12",00131,Roma,Roma (RM),Lazio,F/9398,05192341005
QUADRINI DI REMO QUADRINI SAS,"Viale Vittorio Veneto, 4",00035,Olevano romano,Roma (RM),Lazio,F/9944,10233841005
MACCARESE DEL DR. ATTILIO MONETA CAGLIO DE SUVICH,"Piazza del Maccarese, 14/15",00057,Fiumicino,Roma (RM),Lazio,F/9568,01459980536
EREDI DR.SSA BOSCARINO LUCIA,"Via Chelini, 34 (Piazza Euclide)",00197,Roma,Roma (RM),Lazio,F/9194,13656371005
TORELLI SILVIA,"Via Portuense, 718",00148,Roma,Roma (RM),Lazio,F/9574,09847361004
ESQUILINO SNC-SCIARRA MARIA PIA,"Via Gioberti, 79",00185,Roma,Roma (RM),Lazio,F/9216,04377131000
F.LLI MATALONI LIVIO E GIULIANA SNC,"Via Marco Decumio, 18",00174,Roma,Roma (RM),Lazio,F/9379,05555961001
FABBRI CARLA RAFFAELLA,"Via Roma, 10",00060,Formello,Roma (RM),Lazio,F/9799,08754911009
Farmacia Facciolo Francesco,"Via Provinciale Carchitti, 33-33a",00036,Palestrina,Roma (RM),Lazio,F/9931,05241761005
PALERMO SAS DEL DR. ANTONINO PALERMO & C.,"Viale Francesco Caltagirone, 452",00132,Roma,Roma (RM),Lazio,F/9434,10668981003
FARMACIA SNC FANELLI SERENELLA,"Via Casalotti, 1/c 1/d",00166,Roma,Roma (RM),Lazio,F/9751,04765031002
VIZZACCARO SAS DELLA DR.SSA VIZZACCARO MARIA GRAZIA,"Viale Piave, 80",00030,San vito romano,Roma (RM),Lazio,F/9939,05762751005
SORRENTINO UGO,"Via Cassia, 840",00189,Roma,Roma (RM),Lazio,F/9696,12493391002
SAN MARCO DOTT. GIULIO PALMIERI,"Via Aosta, 89 Ang. Via Taranto, 60",00182,Roma,Roma (RM),Lazio,F/9437,08613161002
SAN GODENZO SAS DR. EMILIO GABELLA & C.,"ViaCassia, 534",00189,Roma,Roma (RM),Lazio,F/9705,10736391003
ARAMINI ANNA E MARIO SNC,"Piazza del Gesu', 13",00044,Frascati,Roma (RM),Lazio,F/9963,09169921005
ARRIGHI DEL DR. LUIGI NAVA,"Via Avicenna, 8/10",00146,Roma,Roma (RM),Lazio,F/9567,07526681007
SANT'ANNA - ARRIGHI PAOLA,"Largo Enea Bortolotti, 1",00146,Roma,Roma (RM),Lazio,F/9447,04808300588
ARTEMISIA DEL DR. ANGELO MONTECUOLLO SNC,"Via Lata, 241",00049,Velletri,Roma (RM),Lazio,F/9941,10747041001
BACECCI CINZIA,"Via Trento e Trieste, 36/38",00030,Genazzano,Roma (RM),Lazio,F/9896,00001791003
BAGNI PATRIZIA,"Piazza Matteotti, 6",00013,Mentana,Roma (RM),Lazio,F/9942,04141401002
BASTA FRANCESCO VITTORIO DI BASTA FRANCESCO VITTORIO & C S.A.S.,"Piazza Roselle, 1",00179,Roma,Roma (RM),Lazio,F/9560,13116051007
PONTELUNGO SAS DI ANDREA BARTOLE,"Piazza Finocchiaro Aprile, 13/14",00181,Roma,Roma (RM),Lazio,F/9449,09208911009
BARTOLOMUCCI ROBERTA FRANCESCA S.A.S.,"Largo Genova, 8",00040,Ardea,Roma (RM),Lazio,F/10044,12900761003
BARTULI MAURO,"Via Appia Nuova, 405",00181,Roma,Roma (RM),Lazio,F/9415,09306111007
S. BASILIO,"Via Morrovalle, 10/16",00156,Roma,Roma (RM),Lazio,F/9288,08825451001
MAZZANTINI ALESSANDRA,"Via Sant'Angela Merici, 69",00162,Roma,Roma (RM),Lazio,F/9273,08289171004
BATTISTINI,"Viale dei Colli Portuensi, 475",00151,Roma,Roma (RM),Lazio,F/9653,06116831006
BROCCHIERI DI GIGLIOLA E LAURA BROCCHIERI SNC,"Via Taranto, 162",00182,Roma,Roma (RM),Lazio,F/9446,07016431004
BROCCHIERI UNO SNC DEL DR. RENATO BROCCHIERI & C.,"Corso Filippo Turati, 21",00034,Colleferro,Roma (RM),Lazio,F/9850,11459691009
BUONFANTINO DI MARCO MORELLI,"Viale del Vignola, 4",00060,Sant'oreste,Roma (RM),Lazio,F/9810,13668061008
CANTU' DOTT. BORYSOWICZ STEFANO,"Piazza C. Cantu', 2",00181,Roma,Roma (RM),Lazio,F/9553,06666191009
CARAFA EMIDIO,"Via Belardi, 17",00045,Genzano di roma,Roma (RM),Lazio,F/10022,04660391006
CARAFA JACOBINI FEDERICA,"Via Matteotti, 7",00044,Frascati,Roma (RM),Lazio,F/10005,08762601006
CARNOVALE FABRIZIO,"Via Pisino, 81/83 ang. Via Serenissima, 56",00177,Roma,Roma (RM),Lazio,F/9476,08803940587
CARRELLO MARIA,"Via Cavour, 73",00033,Cave,Roma (RM),Lazio,F/9894,07440930589
FINOCCHI VALENTINA,"Via Livio Mariani, 8",00020,Marano equo,Roma (RM),Lazio,F/9854,01989270663
PORTUENSE,"Via Portuense, 423",00149,Roma,Roma (RM),Lazio,F/9576,02111790586
MEDIATI DR.SSA MARIA GRAZIA,"Via Castelforte, 29",00171,Roma,Roma (RM),Lazio,F/9534,13400561000
CAVALLINI MARIA TERESA,"Via Vivaldi, snc",00052,Cerveteri,Roma (RM),Lazio,F/9821,04048781001
CECCARELLI MARIA GRAZIA,"Via Bartolo Longo, 7",00156,Roma,Roma (RM),Lazio,F/9356,09457540582
CELLI SAS,"Viale Carlo Marx, 195",00137,Roma,Roma (RM),Lazio,F/9331,11495281005
TARQUINI SNC DELLA DR.SSA ESTERINA TARQUINI,"Via Polo Laziale, 12/16",00055,Ladispoli,Roma (RM),Lazio,F/9820,10184581006
ALBANESE MARIA NICOLETTA,"Viale Alessandrino, 273",00172,Roma,Roma (RM),Lazio,F/9386,10852440584
ALIQUO' FRANCESCO,"Via Piagge, 20",00020,Pisoniano,Roma (RM),Lazio,F/9938,05707031000
AMOROSO SACCHETTA GIOVANNI,"Via G. Branca, 62",00153,Roma,Roma (RM),Lazio,F/9082,01241670585
ANGELINI LINO,"Via Numitore, 9/11",00181,Roma,Roma (RM),Lazio,F/9412,00449610583
ANGELINI MARIANO,"Piazza S. Giovanni Bosco, 39/42",00175,Roma,Roma (RM),Lazio,F/9324,05140350587
ANNIA REGILLA,"Via A. Regilla, 103/105",00178,Roma,Roma (RM),Lazio,F/9368,05199381004
FLORIO MARIASSUNTA,"Via Radicofani, 147",00138,Roma,Roma (RM),Lazio,F/9185,07737160585
FORCELLESE LUCIA,"Via Casola Valsenio, 10",00127,Roma,Roma (RM),Lazio,F/9480,09274211003
FRANCHI DI ADA FRANCHI & C. SNC,"Via Tuscolana, 182-184-186 ang. Largo Saluzzo, 1",00182,Roma,Roma (RM),Lazio,F/9426,08559201002
