Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
Farmacia Errea 2.0 Snc,Via S. Massimo N. 53,20018,Sedriano,Milano (MI),Lombardia,F/19691,9959080962,"Via S. Massimo N. 53, 20018 Sedriano, Italia"
Farmacia S. Stefano,"Via Silvio Pellico, 10",20088,Rosate,Milano (MI),Lombardia,F/19695,9913340965,"Via Silvio Pellico, 10, 20088 Rosate, Italia"
Farmacia Villapia Di Agostino Esposito E Michele Donnarumma S.n.c,"Via Arluno, Angolo Via Bolzano, 2",20015,Parabiago,Milano (MI),Lombardia,F/19766,9925850969,"Via Arluno, Angolo Via Bolzano, 2, 20015 Parabiago, Italia"
Farmacia Di Badile Delle Dott.sse Gulli' Natalina E Scaffidi Calogera S.n.c.,"Via Vittorio Veneto, 14",20080,Zibido san giacomo,Milano (MI),Lombardia,F/19772,9992230962,"Via Vittorio Veneto, 14, 20080 Zibido san giacomo, Italia"
Farmacia Sant'Anna Di Dellara Maria E De Consoli Valeria Snc,"Via Lonate Pozzolo, 43",20022,Castano primo,Milano (MI),Lombardia,F/19704,9873500962,"Via Lonate Pozzolo, 43, 20022 Castano primo, Italia"
Farmacia Nuova,"Via Torino, 19",20030,Senago,Milano (MI),Lombardia,F/19801,9979950962,"Via Torino, 19, 20030 Senago, Italia"
Farmacia Saronnese Di Silvana Cosenza E Antonina Sarao',"Via Saronnese, 23",20025,Legnano,Milano (MI),Lombardia,F/19808,10018060961,"Via Saronnese, 23, 20025 Legnano, Italia"
Farmacia Bettolino,"Via Taormina, 1",20093,Cologno monzese,Milano (MI),Lombardia,F/19814,9940360960,"Via Taormina, 1, 20093 Cologno monzese, Italia"
Farmacia Sant'Andrea S.n.c.,"Via Milano, 60",20096,Pioltello,Milano (MI),Lombardia,F/19649,9949040969,"Via Milano, 60, 20096 Pioltello, Italia"
Farmacia Rivera S.n.c. Di Rivera Emmanuel E C.,"Via Giacomo Matteotti, 9",20080,Ozzero,Milano (MI),Lombardia,F/3210,10332280964,"Via Giacomo Matteotti, 9, 20080 Ozzero, Italia"
Comunale Bubbiano Srl,"Via Trento, 2",20080,Bubbiano,Milano (MI),Lombardia,F/17057,9305000961,"Via Trento, 2, 20080 Bubbiano, Italia"
Dispensario Dr.ssa Pivello,Piazza Cavalieri Di Vittorio Veneto,20088,Vermezzo,Milano (MI),Lombardia,F/17657,4548020157,"Piazza Cavalieri Di Vittorio Veneto, 20088 Vermezzo, Italia"
Farmacia Ripamartesana,"Viale Martesana, 75",20090,Vimodrone,Milano (MI),Lombardia,F/19688,9918740961,"Viale Martesana, 75, 20090 Vimodrone, Italia"
Farmacia Settimo,"Piazza Tre Martiri, 5",20019,Settimo milanese,Milano (MI),Lombardia,F/19689,9891990963,"Piazza Tre Martiri, 5, 20019 Settimo milanese, Italia"
Comunale Di Vanzago Srl,"Via Sant'Isaia, 5",20010,Vanzago,Milano (MI),Lombardia,F/18323,6230160969,"Via Sant'Isaia, 5, 20010 Vanzago, Italia"
"Farmacia dell'Idroscalo S.n.c. dei Dottori Tornatora Francesca, Grande Gaetano e Maifrini Simona","Via Rivoltana, 31",20090,Segrate,Milano (MI),Lombardia,F/17663,9937280965,"Via Rivoltana, 31, 20090 Segrate, Italia"
Dispensario Dr. Lombardi,,20088,Bubbiano,Milano (MI),Lombardia,F/17570,1975140185,"nan, 20088 Bubbiano, Italia"
FARMACIA DOTT. LOMBARDI STEFANO,"Via Matteotti, 22",20080,Besate,Milano (MI),Lombardia,F/3217,1975140185,"Via Matteotti, 22, 20080 Besate, Italia"
FARMACIA CASTELLI S.N.C. DOTT.SSE GIORGIA PAVAN E DALILA PEDRETTI,"Piazza Pompeo Castelli, 14",20156,Milano,Milano (MI),Lombardia,F/2986,10151100962,"Piazza Pompeo Castelli, 14, 20156 Milano, Italia"
COMUNALE N.2,"Via S.Carlo, 6",20090,Segrate,Milano (MI),Lombardia,F/3238,11992270154,"Via S.Carlo, 6, 20090 Segrate, Italia"
COMUNALE N.1,"Via Delle Regioni, 36",20090,Segrate,Milano (MI),Lombardia,F/3242,11992270154,"Via Delle Regioni, 36, 20090 Segrate, Italia"
COMUNALE N.3,"Residenza Ponti Milano, 2",20090,Segrate,Milano (MI),Lombardia,F/3253,11992270154,"Residenza Ponti Milano, 2, 20090 Segrate, Italia"
Comunale N.4,"Via Borioli, 1/a-b",20090,Segrate,Milano (MI),Lombardia,F/3290,11992270154,"Via Borioli, 1/a-b, 20090 Segrate, Italia"
FARMACIA GIUGLIANO DR. ANTONIETTA,"Via C. Sormani, 89",20094,Cusano milanino,Milano (MI),Lombardia,F/18064,5662790962,"Via C. Sormani, 89, 20094 Cusano milanino, Italia"
FARMACIA GIOVANNINETTI DI GIOVANNINETTI ATTILIO,"Piazza MAZZINI, 101",20022,Castano primo,Milano (MI),Lombardia,F/3026,9873840962,"Piazza MAZZINI, 101, 20022 Castano primo, Italia"
MELZESE SNC,"Via C. Oreglio, 1",20066,Melzo,Milano (MI),Lombardia,F/18435,6858740969,"Via C. Oreglio, 1, 20066 Melzo, Italia"
EUROPEA SCIORTINO,"Via Papa Giovanni XXIII, 19/B",20093,Cologno monzese,Milano (MI),Lombardia,F/3532,12275580152,"Via Papa Giovanni XXIII, 19/B, 20093 Cologno monzese, Italia"
Dispensario Dr. Lupo,Via Alfieri,20010,Inveruno,Milano (MI),Lombardia,F/17661,1945170023,"Via Alfieri, 20010 Inveruno, Italia"
LUPO FRANCO,"Via Dante, 33",20010,Inveruno,Milano (MI),Lombardia,F/3202,1945170023,"Via Dante, 33, 20010 Inveruno, Italia"
DISPENSARIO MUCCHIATI SNC,"Via Dei Mille, 10",20020,Busto garolfo,Milano (MI),Lombardia,F/18558,4591580966,"Via Dei Mille, 10, 20020 Busto garolfo, Italia"
SANTA GIULIA,"Via Bonfadini, 87",20138,Milano,Milano (MI),Lombardia,F/18125,1662890670,"Via Bonfadini, 87, 20138 Milano, Italia"
Comunale N1,"Via Cappuccini, 1/a",20023,Cerro maggiore,Milano (MI),Lombardia,F/18124,7840210964,"Via Cappuccini, 1/a, 20023 Cerro maggiore, Italia"
Comunale,"Viale Lombardia, 75",20015,Parabiago,Milano (MI),Lombardia,F/18747,7680760969,"Viale Lombardia, 75, 20015 Parabiago, Italia"
COMUNALE N.3,"Via Piave, 23",20091,Bresso,Milano (MI),Lombardia,F/3333,12987740151,"Via Piave, 23, 20091 Bresso, Italia"
COMUNALE N.1,"Via Tasso, 87",20091,Bresso,Milano (MI),Lombardia,F/3375,12987740151,"Via Tasso, 87, 20091 Bresso, Italia"
COMUNALE N.1,"Via Andrea Ponti, 29",20010,Cornaredo,Milano (MI),Lombardia,F/3092,11758500158,"Via Andrea Ponti, 29, 20010 Cornaredo, Italia"
Comunale N.2,"Piazzetta Europa, 11",20010,Cornaredo,Milano (MI),Lombardia,F/3198,11758500158,"Piazzetta Europa, 11, 20010 Cornaredo, Italia"
LEGNANO SNC,"Via Canazza, 8",20025,Legnano,Milano (MI),Lombardia,F/3082,4140520968,"Via Canazza, 8, 20025 Legnano, Italia"
COMUNALE N.4,Via Papa Giovanni XXIII,20091,Bresso,Milano (MI),Lombardia,F/3339,935810150,"Via Papa Giovanni XXIII, 20091 Bresso, Italia"
COMUNALE N.5,"Via Vittorio Veneto, 26",20091,Bresso,Milano (MI),Lombardia,F/3371,935810150,"Via Vittorio Veneto, 26, 20091 Bresso, Italia"
COMUNALE N.2,"Via A.Strada, 56",20091,Bresso,Milano (MI),Lombardia,F/3399,935810150,"Via A.Strada, 56, 20091 Bresso, Italia"
AIROLDI SNC DR. AIROLDI GIUSEPPE & C.,"Centro Commerciale, 25",20090,Segrate,Milano (MI),Lombardia,F/3271,5270430969,"Centro Commerciale, 25, 20090 Segrate, Italia"
ALLEANZA FARMACEUTICA,"Via Cesare Correnti, 2",20123,Milano,Milano (MI),Lombardia,F/2802,2309010151,"Via Cesare Correnti, 2, 20123 Milano, Italia"
ALZAIA PAVESE SAS DR. CRUPI NICOLA & C.,"Via Mario Pichi, 9",20149,Milano,Milano (MI),Lombardia,F/2886,4130990965,"Via Mario Pichi, 9, 20149 Milano, Italia"
ANTICA FARMACIA DEL VERZIERE DI ROSANNA VIGANO' & C. SNC,"Corso 22 Marzo, 52/7",20137,Milano,Milano (MI),Lombardia,F/2666,9566000965,"Corso 22 Marzo, 52/7, 20137 Milano, Italia"
ANTICA FARMACIA DIANA,"Piazzale Oberdan, 4",20129,Milano,Milano (MI),Lombardia,F/2958,12522980155,"Piazzale Oberdan, 4, 20129 Milano, Italia"
ARIBERTO SAS,"Via Edmondo De Amicis, 51",20123,Milano,Milano (MI),Lombardia,F/2898,10811240158,"Via Edmondo De Amicis, 51, 20123 Milano, Italia"
COMUNALE N.2,"Piazza Carlo Marx, 5",20030,Senago,Milano (MI),Lombardia,F/18166,11673490154,"Piazza Carlo Marx, 5, 20030 Senago, Italia"
COMUNALE 1,"Piazza Tricolore, 42",20030,Senago,Milano (MI),Lombardia,F/3074,11673490154,"Piazza Tricolore, 42, 20030 Senago, Italia"
Comunale 2,"Via Dei Pini, 3",20090,Pieve emanuele,Milano (MI),Lombardia,F/17003,4239310156,"Via Dei Pini, 3, 20090 Pieve emanuele, Italia"
COMUNALE 1,"Piazza Giacomo Puccini, 8",20090,Pieve emanuele,Milano (MI),Lombardia,F/3232,4239310156,"Piazza Giacomo Puccini, 8, 20090 Pieve emanuele, Italia"
AZIENDA SPECIALE FARMACEUTICA,"Piazza XXV Aprile, 20",20010,Pogliano milanese,Milano (MI),Lombardia,F/3192,12259560154,"Piazza XXV Aprile, 20, 20010 Pogliano milanese, Italia"
BAIO SNC Dr.ssa Buccino Clelia,"Via Vittorio Veneto, 5/D",20091,Bresso,Milano (MI),Lombardia,F/3360,1522380150,"Via Vittorio Veneto, 5/D, 20091 Bresso, Italia"
Balocco Snc,"Via Roma, 18",20077,Melegnano,Milano (MI),Lombardia,F/3224,6729810967,"Via Roma, 18, 20077 Melegnano, Italia"
BARTOLOTTI SAS,"Via Trieste, 20",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3342,6569220962,"Via Trieste, 20, 20092 Cinisello balsamo, Italia"
BENAGLIO NICOLA & C. SNC,"Via Garibaldi, 87",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3525,2431010962,"Via Garibaldi, 87, 20092 Cinisello balsamo, Italia"
LISSONE FARMACIE SPA - COMUNALE CARUGATE 1,"Via A. De Gasperi, 6",20061,Carugate,Milano (MI),Lombardia,F/3251,2787850961,"Via A. De Gasperi, 6, 20061 Carugate, Italia"
NUOVA BERETTA SNC DI SILVIA BASSI & C.,"Viale Bligny, 47",20136,Milano,Milano (MI),Lombardia,F/2601,8586580964,"Viale Bligny, 47, 20136 Milano, Italia"
BICOCCA SNC,"Viale Suzzani, 273",20162,Milano,Milano (MI),Lombardia,F/2672,5381100964,"Viale Suzzani, 273, 20162 Milano, Italia"
DE LUCA SNC,"Via Nino Bixio, 1",20129,Milano,Milano (MI),Lombardia,F/2918,6759200964,"Via Nino Bixio, 1, 20129 Milano, Italia"
Dispensario Dr. Bozzelli,"Via Luigi Gatti, 21",20060,Truccazzano,Milano (MI),Lombardia,F/17662,5087930961,"Via Luigi Gatti, 21, 20060 Truccazzano, Italia"
BOZZELLI,"Via Europa, 4/A",20060,Truccazzano,Milano (MI),Lombardia,F/3233,5087930961,"Via Europa, 4/A, 20060 Truccazzano, Italia"
COMUNALE N. 2,"Via Toti, 25",20061,Carugate,Milano (MI),Lombardia,F/18701,2544470962,"Via Toti, 25, 20061 Carugate, Italia"
MUNICIPALE N.16,"Via Suzzani, 155",20162,Milano,Milano (MI),Lombardia,F/2713,1199250158,"Via Suzzani, 155, 20162 Milano, Italia"
MUNICIPALE N.15,"VIa Pierlombardo, 19",20135,Milano,Milano (MI),Lombardia,F/2714,1199250158,"VIa Pierlombardo, 19, 20135 Milano, Italia"
MUNICIPALE N.13,"Piazza Bonomelli, 4",20139,Milano,Milano (MI),Lombardia,F/2717,1199250158,"Piazza Bonomelli, 4, 20139 Milano, Italia"
MUNICIPALE N.25,"Via Forze Armate, 44",20147,Milano,Milano (MI),Lombardia,F/2720,1199250158,"Via Forze Armate, 44, 20147 Milano, Italia"
MUNICIPALE N.10,"Via Palanzone, 32",20162,Milano,Milano (MI),Lombardia,F/2722,1199250158,"Via Palanzone, 32, 20162 Milano, Italia"
MUNICIPALE N.81,"Via Chiarelli, 10",20151,Milano,Milano (MI),Lombardia,F/2723,1199250158,"Via Chiarelli, 10, 20151 Milano, Italia"
MUNICIPALE N.8,"Via Val Maira, 14",20162,Milano,Milano (MI),Lombardia,F/2726,1199250158,"Via Val Maira, 14, 20162 Milano, Italia"
MUNICIPALE N.20,"Piazza Axum, 5/3",20151,Milano,Milano (MI),Lombardia,F/2727,1199250158,"Piazza Axum, 5/3, 20151 Milano, Italia"
MUNICIPALE N.28,"Via Teodosio, 104",20131,Milano,Milano (MI),Lombardia,F/2728,1199250158,"Via Teodosio, 104, 20131 Milano, Italia"
MUNICIPALE N.29,"Via Lessona, 55",20157,Milano,Milano (MI),Lombardia,F/2729,1199250158,"Via Lessona, 55, 20157 Milano, Italia"
MUNICIPALE N.12,"VIa Iglesias, 48",20128,Milano,Milano (MI),Lombardia,F/2732,1199250158,"VIa Iglesias, 48, 20128 Milano, Italia"
MUNICIPALE N.24,"Via Morgantini, 14",20148,Milano,Milano (MI),Lombardia,F/2733,1199250158,"Via Morgantini, 14, 20148 Milano, Italia"
MUNICIPALE N.33,"Via Angeloni, 33",20161,Milano,Milano (MI),Lombardia,F/2734,1199250158,"Via Angeloni, 33, 20161 Milano, Italia"
MUNICIPALE N.37,"Via Vetta d'Italia, 18",20144,Milano,Milano (MI),Lombardia,F/2735,1199250158,"Via Vetta d'Italia, 18, 20144 Milano, Italia"
MUNICIPALE N.31,"Via Vignoli, 42/44",20146,Milano,Milano (MI),Lombardia,F/2736,1199250158,"Via Vignoli, 42/44, 20146 Milano, Italia"
MUNICIPALE N.35,"Via Petrocchi, 21",20127,Milano,Milano (MI),Lombardia,F/2737,1199250158,"Via Petrocchi, 21, 20127 Milano, Italia"
MUNICIPALE N.34,"Via Marucchetti, 27",20139,Milano,Milano (MI),Lombardia,F/2742,1199250158,"Via Marucchetti, 27, 20139 Milano, Italia"
MUNICIPALE N.39,"Piazza Anita Garibaldi, 8",20153,Milano,Milano (MI),Lombardia,F/2743,1199250158,"Piazza Anita Garibaldi, 8, 20153 Milano, Italia"
MUNICIPALE N.36,"Via Nicolaiewka, 3",20152,Milano,Milano (MI),Lombardia,F/2744,1199250158,"Via Nicolaiewka, 3, 20152 Milano, Italia"
MUNICIPALE N.80,Piazza Zavattari ang.Murillo,20149,Milano,Milano (MI),Lombardia,F/2748,1199250158,"Piazza Zavattari ang.Murillo, 20149 Milano, Italia"
MUNICIPALE N.41,"Viale Suzzani, 239",20162,Milano,Milano (MI),Lombardia,F/2749,1199250158,"Viale Suzzani, 239, 20162 Milano, Italia"
MUNICIPALE N.49,"Via Fratelli Zanzottera, 12",20153,Milano,Milano (MI),Lombardia,F/2763,1199250158,"Via Fratelli Zanzottera, 12, 20153 Milano, Italia"
MUNICIPALE N.46,"Via Cignoli, 1",20151,Milano,Milano (MI),Lombardia,F/2767,1199250158,"Via Cignoli, 1, 20151 Milano, Italia"
MUNICIPALE N.47,"Via Foppa, 5",20121,Milano,Milano (MI),Lombardia,F/2768,1199250158,"Via Foppa, 5, 20121 Milano, Italia"
MUNICIPALE N.48,"Viale Aruzzi, 4",20100,Milano,Milano (MI),Lombardia,F/2772,1199250158,"Viale Aruzzi, 4, 20100 Milano, Italia"
MUNICIPALE N.57,"Via Del Pettirosso, 16",20147,Milano,Milano (MI),Lombardia,F/2773,1199250158,"Via Del Pettirosso, 16, 20147 Milano, Italia"
MUNICIPALE N.14,"Via Grigna, 9",20155,Milano,Milano (MI),Lombardia,F/2776,1199250158,"Via Grigna, 9, 20155 Milano, Italia"
MUNICIPALE N.58,"Via Palmanova, 67",20132,Milano,Milano (MI),Lombardia,F/2777,1199250158,"Via Palmanova, 67, 20132 Milano, Italia"
MUNICIPALE N.59,"Via Zuretti, 37",20125,Milano,Milano (MI),Lombardia,F/2778,1199250158,"Via Zuretti, 37, 20125 Milano, Italia"
LLOYD FARMACIA COMUNALE N.60,"Via D'Agrate, 1",20139,Milano,Milano (MI),Lombardia,F/2779,1199250158,"Via D'Agrate, 1, 20139 Milano, Italia"
MUNICIPALE N.61,"Via R. Bonghi, 22",20141,Milano,Milano (MI),Lombardia,F/2780,1199250158,"Via R. Bonghi, 22, 20141 Milano, Italia"
MUNICIPALE N.62,"Via Illirico, 2",20133,Milano,Milano (MI),Lombardia,F/2781,1199250158,"Via Illirico, 2, 20133 Milano, Italia"
MUNICIPALE N.63,"Via G. Murat, 5",20159,Milano,Milano (MI),Lombardia,F/2783,1199250158,"Via G. Murat, 5, 20159 Milano, Italia"
MUNICIPALE N.64,"Via Arbe, 65",20125,Milano,Milano (MI),Lombardia,F/2784,1199250158,"Via Arbe, 65, 20125 Milano, Italia"
MUNICIPALE N.65,"Via Compagnoni, 24",20129,Milano,Milano (MI),Lombardia,F/2785,1199250158,"Via Compagnoni, 24, 20129 Milano, Italia"
MUNICIPALE N.66,"Via Alcuino, 18",20149,Milano,Milano (MI),Lombardia,F/2786,1199250158,"Via Alcuino, 18, 20149 Milano, Italia"
MUNICIPALE N.67,"Via Casoretto, 1",20131,Milano,Milano (MI),Lombardia,F/2789,1199250158,"Via Casoretto, 1, 20131 Milano, Italia"
MUNICIPALE N.70,"Via Famagosta, 40",20142,Milano,Milano (MI),Lombardia,F/2791,1199250158,"Via Famagosta, 40, 20142 Milano, Italia"
MUNICIPALE N.71,"Via Battistoni Sassi, 24",20133,Milano,Milano (MI),Lombardia,F/2792,1199250158,"Via Battistoni Sassi, 24, 20133 Milano, Italia"
MUNICIPALE N.72,"Via Cucchiari, 15",20155,Milano,Milano (MI),Lombardia,F/2793,1199250158,"Via Cucchiari, 15, 20155 Milano, Italia"
MUNICIPALE N.68,Via Sacco ang. P.za De Angeli,20146,Milano,Milano (MI),Lombardia,F/2794,1199250158,"Via Sacco ang. P.za De Angeli, 20146 Milano, Italia"
MUNICIPALE N.74,"Piazza Falterona, 3",20148,Milano,Milano (MI),Lombardia,F/2797,1199250158,"Piazza Falterona, 3, 20148 Milano, Italia"
MUNICIPALE N.78,"Via Sismondi, 67",20133,Milano,Milano (MI),Lombardia,F/2804,1199250158,"Via Sismondi, 67, 20133 Milano, Italia"
MUNICIPALE N.79,"Via De Ruggero, 8",20142,Milano,Milano (MI),Lombardia,F/2805,1199250158,"Via De Ruggero, 8, 20142 Milano, Italia"
MUNICIPALE N.83,"Viale Monza, 226",20128,Milano,Milano (MI),Lombardia,F/2809,1199250158,"Viale Monza, 226, 20128 Milano, Italia"
MUNICIPALE N.84,"Via De Pretis, 1",20142,Milano,Milano (MI),Lombardia,F/2840,1199250158,"Via De Pretis, 1, 20142 Milano, Italia"
MUZIO,"Via Michelangelo, 1F",20060,Basiano,Milano (MI),Lombardia,F/3491,1539600187,"Via Michelangelo, 1F, 20060 Basiano, Italia"
MAZZOLENI SNC,"Via Nicola Piccinni, 1/3",20131,Milano,Milano (MI),Lombardia,F/2643,1032660159,"Via Nicola Piccinni, 1/3, 20131 Milano, Italia"
NUOVA,"Via Di Vittorio, 47",20097,San donato milanese,Milano (MI),Lombardia,F/3295,8587870968,"Via Di Vittorio, 47, 20097 San donato milanese, Italia"
ORIO SNC,"Piazza 6 Febbraio, 16",20145,Milano,Milano (MI),Lombardia,F/2688,7830220963,"Piazza 6 Febbraio, 16, 20145 Milano, Italia"
PADRE PIO,"Via F.lli di Dio, 79",20099,Sesto san giovanni,Milano (MI),Lombardia,F/3535,2396940963,"Via F.lli di Dio, 79, 20099 Sesto san giovanni, Italia"
PAGANI SNCdi PAGANI LUCIA & C,"Piazzetta del Commercio, 27",20080,Basiglio,Milano (MI),Lombardia,F/3323,8419310969,"Piazzetta del Commercio, 27, 20080 Basiglio, Italia"
PALAZZOLO DEL DR. DANIELE OTTAVIO,"Viale Montenero, 37",20135,Milano,Milano (MI),Lombardia,F/2651,9127160969,"Viale Montenero, 37, 20135 Milano, Italia"
PALTRINIERI,"Via Cooperazione, 20",20095,Cusano milanino,Milano (MI),Lombardia,F/3502,6268880967,"Via Cooperazione, 20, 20095 Cusano milanino, Italia"
COMUNALE N.3,"Via Roma, 45",20037,Paderno dugnano,Milano (MI),Lombardia,F/3089,2286490962,"Via Roma, 45, 20037 Paderno dugnano, Italia"
COMUNALE N.4,"Strada Provinciale, 44 c/o Euromercato",20037,Paderno dugnano,Milano (MI),Lombardia,F/3173,2286490962,"Strada Provinciale, 44 c/o Euromercato, 20037 Paderno dugnano, Italia"
COMUNALE N.4,"Via Magellano, 5",20094,Corsico,Milano (MI),Lombardia,F/3101,12130830150,"Via Magellano, 5, 20094 Corsico, Italia"
Giardino,"Via Calderini, 3",20123,Milano,Milano (MI),Lombardia,F/18371,774640155,"Via Calderini, 3, 20123 Milano, Italia"
COOP.FARM.DUOMO,"Via Orefici, 2",20123,Milano,Milano (MI),Lombardia,F/2612,774640155,"Via Orefici, 2, 20123 Milano, Italia"
COOP.FARM.VITTORIA,"Via Fontana 1 - Angolo C.so Porta Vittoria, 36",20122,Milano,Milano (MI),Lombardia,F/2613,774640155,"Via Fontana 1 - Angolo C.so Porta Vittoria, 36, 20122 Milano, Italia"
COOP.FARM.CANONICA,"Via Canonica, 6",20154,Milano,Milano (MI),Lombardia,F/2614,774640155,"Via Canonica, 6, 20154 Milano, Italia"
COOP.FARM.PONTACCIO,"Via Pontaccio, 22",20121,Milano,Milano (MI),Lombardia,F/2615,774640155,"Via Pontaccio, 22, 20121 Milano, Italia"
COOP.FARM.SEMPIONE,"Piazzale Sempione, 8",20154,Milano,Milano (MI),Lombardia,F/2616,774640155,"Piazzale Sempione, 8, 20154 Milano, Italia"
Dispensario Castellani,"Piazza Iv Novembre, 1",20060,Pozzo d'adda,Milano (MI),Lombardia,F/17668,3578760138,"Piazza Iv Novembre, 1, 20060 Pozzo d'adda, Italia"
CASTELVETRO SNC,"Via P. Della Francesca, 38",20154,Milano,Milano (MI),Lombardia,F/2947,11973480152,"Via P. Della Francesca, 38, 20154 Milano, Italia"
CAVALLI,"Via Candiani, 122",20158,Milano,Milano (MI),Lombardia,F/2878,9629510158,"Via Candiani, 122, 20158 Milano, Italia"
CENTRALE,"Piazza Dubini, 21",20010,Cornaredo,Milano (MI),Lombardia,F/3136,9202570157,"Piazza Dubini, 21, 20010 Cornaredo, Italia"
BELLONI,"Via Fratelli Kennedy, 23",20090,Pieve emanuele,Milano (MI),Lombardia,F/3272,2315320180,"Via Fratelli Kennedy, 23, 20090 Pieve emanuele, Italia"
CENTRALE SNC DEL DR. LUIGI VIGANO' & C.,"Piazza Gramsci, 39",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3479,5742850968,"Piazza Gramsci, 39, 20092 Cinisello balsamo, Italia"
FANFONI,"Via Trieste, 11",20020,Cesate,Milano (MI),Lombardia,F/3058,3364970123,"Via Trieste, 11, 20020 Cesate, Italia"
Dispensario Dr. Chiaudani,"Via Carati, 8/10",20017,Rho,Milano (MI),Lombardia,F/17658,8995190157,"Via Carati, 8/10, 20017 Rho, Italia"
CHIAUDANI,"Via Fosse Ardeatine, 2",20017,Rho,Milano (MI),Lombardia,F/3133,8995190157,"Via Fosse Ardeatine, 2, 20017 Rho, Italia"
S. GIOVANNI DR. GIORGIO SANTAGOSTINO,"Via Vittorio Veneto, 15",20080,Cisliano,Milano (MI),Lombardia,F/3063,8726180964,"Via Vittorio Veneto, 15, 20080 Cisliano, Italia"
COLUCCI DELLA DR.SSA COLUCCI NORINA,"Via G.Pascoli, 9",20093,Cologno monzese,Milano (MI),Lombardia,F/3516,6393390965,"Via G.Pascoli, 9, 20093 Cologno monzese, Italia"
SALUS SAS DR. ALESSANDRO MACRI' & C.,"Via Cristoforo Colombo, 36/b",20062,Cassano d'adda,Milano (MI),Lombardia,F/3307,8268110965,"Via Cristoforo Colombo, 36/b, 20062 Cassano d'adda, Italia"
COMUNALE,"Via Piantadosi, 8",20090,Opera,Milano (MI),Lombardia,F/3257,6837310157,"Via Piantadosi, 8, 20090 Opera, Italia"
BORGO SAN MARTINO SNC,"Via XXIV Maggio, 168",20025,Legnano,Milano (MI),Lombardia,F/3067,4140530967,"Via XXIV Maggio, 168, 20025 Legnano, Italia"
COMUNALE N.1,"Via Re Umberto, 29",20020,Lainate,Milano (MI),Lombardia,F/3069,856780150,"Via Re Umberto, 29, 20020 Lainate, Italia"
COMUNALE N.1,"Via Cesare Battisti, 6",20016,Pero,Milano (MI),Lombardia,F/3075,11792820158,"Via Cesare Battisti, 6, 20016 Pero, Italia"
COMUNALE N.1,"Via Italia, 94",20037,Paderno dugnano,Milano (MI),Lombardia,F/3049,884300153,"Via Italia, 94, 20037 Paderno dugnano, Italia"
COMUNALE N.2,"Via Sabotino, 94",20037,Paderno dugnano,Milano (MI),Lombardia,F/3071,884300153,"Via Sabotino, 94, 20037 Paderno dugnano, Italia"
COMUNALE N.2,"Via Boccaccio, 19",20013,Magenta,Milano (MI),Lombardia,F/3056,1082490150,"Via Boccaccio, 19, 20013 Magenta, Italia"
