Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
Farmacia Parisi Dott. Alessandro,"Viale Vittorio Veneto, 100-102",46,Grottaferrata,Roma (RM),Lazio,F/10031,02958900603,"Viale Vittorio Veneto, 100-102, 00046 Grottaferrata, Italia"
Farmacia Internazionale Snc Delle Dr.sse Flavia Giannini E Teresafabiola Miscioscia,"Viale Caduti Guerra Liberazione, 392",128,Roma,Roma (RM),Lazio,F/19563,14184301001,"Viale Caduti Guerra Liberazione, 392, 00128 Roma, Italia"
Farmacia Silgre Della Dott.ssa Silvia Di Paolo & C. S.a.s.,"Via Siena, 6",41,Albano laziale,Roma (RM),Lazio,F/19572,14286911004,"Via Siena, 6, 00041 Albano laziale, Italia"
Farmacia Fiume Giallo S.a.s.,"Via Fiume Giallo, 399/401",144,Roma,Roma (RM),Lazio,F/19573,13905911007,"Via Fiume Giallo, 399/401, 00144 Roma, Italia"
"Farmacia Mezzocammino Snc Di Calabrese Giuseppe, Diego E Bordi Federica","Viale Gianluigi Bonelli, 84a/b/bi",127,Roma,Roma (RM),Lazio,F/19574,14278851002,"Viale Gianluigi Bonelli, 84a/b/bi, 00127 Roma, Italia"
Farmacia Castel Di Leva Snc Delle Dr.sse Silvia Di Giammarino E Maria Lanotte,"Via Di Castel Di Leva, 263",134,Roma,Roma (RM),Lazio,F/19498,14236161007,"Via Di Castel Di Leva, 263, 00134 Roma, Italia"
Farmacia Del Mare Dei Dottori Domenico D'Ambrosio E Elena Azzurro S.n.c.,"Via Di Torvaianica Alta, 23-25",71,Pomezia,Roma (RM),Lazio,F/19499,13916741005,"Via Di Torvaianica Alta, 23-25, 00071 Pomezia, Italia"
Farmacia Sacro Cuore S.n.c. Di Di Fraia Federica E Samperi Cristoforo,"Viale Marconi, 31",42,Anzio,Roma (RM),Lazio,F/19489,14143311000,"Viale Marconi, 31, 00042 Anzio, Italia"
Armenio Fausto,"Via Parigi, 39",55,Ladispoli,Roma (RM),Lazio,F/18019,09141751009,"Via Parigi, 39, 00055 Ladispoli, Italia"
Mantoni Panimolle Della Dr.ssa Mantoni Paola E Del Dr.sergio Panimolle,"Via Dei Platani, 17 - 17/a",13,Fonte nuova,Roma (RM),Lazio,F/17994,10880221006,"Via Dei Platani, 17 - 17/a, 00013 Fonte nuova, Italia"
Farmacia Assistenziale A.n.m.i.g.,"Lungotevere Castello, 2",193,Roma,Roma (RM),Lazio,F/18075,02114911007,"Lungotevere Castello, 2, 00193 Roma, Italia"
Pirillo Maria Cristina,"Via Landi, 57",45,Genzano di roma,Roma (RM),Lazio,F/18013,04008360960,"Via Landi, 57, 00045 Genzano di roma, Italia"
Lapucci Lorenzina,"Via Tiberina, 33",65,Fiano romano,Roma (RM),Lazio,F/18053,06319231004,"Via Tiberina, 33, 00065 Fiano romano, Italia"
San Gaspare Del Bufalo Srl,"Via Roma, 23",10,Marcellina,Roma (RM),Lazio,F/18317,10091791003,"Via Roma, 23, 00010 Marcellina, Italia"
Farmacia Policlinico,"Via G.B. Morgagni, 30/C-30/D",161,Roma,Roma (RM),Lazio,F/9099,08425831008,"Via G.B. Morgagni, 30/C-30/D, 00161 Roma, Italia"
RE CLELIA,"Via Trionfale, 118",195,Roma,Roma (RM),Lazio,F/9703,05868660589,"Via Trionfale, 118, 00195 Roma, Italia"
LEODORI ROSARIA,"VIALE DEI PINI, 17",30,Rocca santo stefano,Roma (RM),Lazio,F/9870,12921251000,"VIALE DEI PINI, 17, 00030 Rocca santo stefano, Italia"
GRIMALDI ENZO,"Viale Jonio, 235",141,Roma,Roma (RM),Lazio,F/9163,02477800581,"Viale Jonio, 235, 00141 Roma, Italia"
GUADAGNO ANGELO,"Via G. Curioni, 51/53",157,Roma,Roma (RM),Lazio,F/9359,05708010581,"Via G. Curioni, 51/53, 00157 Roma, Italia"
GUARNACCI SNC DI LAURA GUARNACCI E GIULIA BARBIERI,"Via Flaminia, 5/7",196,Roma,Roma (RM),Lazio,F/9165,10178441001,"Via Flaminia, 5/7, 00196 Roma, Italia"
IACOVELLI SALVATORE,"Via Annia Regilla, 202",178,Roma,Roma (RM),Lazio,F/9333,07419770586,"Via Annia Regilla, 202, 00178 Roma, Italia"
TRE MADONNE,"Via Bertoloni, 5",197,Roma,Roma (RM),Lazio,F/9229,12240221007,"Via Bertoloni, 5, 00197 Roma, Italia"
RESTAINO FELICE,"Piazza Aldo Moro, 15/16",12,Guidonia montecelio,Roma (RM),Lazio,F/9905,00698771003,"Piazza Aldo Moro, 15/16, 00012 Guidonia montecelio, Italia"
DEL LEONE SAS DI PONTECORVI ILARIA & C.,"Largo Beltramelli, 13 13/A",157,Roma,Roma (RM),Lazio,F/9307,12524611006,"Largo Beltramelli, 13 13/A, 00157 Roma, Italia"
ROANI SCIUTO ANDREINA,"Via Aurelia, 2835 (Km. 28)",50,Fiumicino,Roma (RM),Lazio,F/9579,05587151001,"Via Aurelia, 2835 (Km. 28), 00050 Fiumicino, Italia"
ROMAGNOLI GIANNI,"Piazza Mazzini, 10",30,Labico,Roma (RM),Lazio,F/9928,10178450580,"Piazza Mazzini, 10, 00030 Labico, Italia"
SPINELLI MAURIZIO & C. SNC,"Via G. Ricci Curbastro, 3",149,Roma,Roma (RM),Lazio,F/9566,10707381009,"Via G. Ricci Curbastro, 3, 00149 Roma, Italia"
ROMANI ROBERTO,"Via Ettore Gabrielli, 43",49,Velletri,Roma (RM),Lazio,F/9964,00447910589,"Via Ettore Gabrielli, 43, 00049 Velletri, Italia"
SAN PIO DOTT.RISOLIMANDO PAOLINO SAS,"Via S. Bernadette, 55",167,Roma,Roma (RM),Lazio,F/9681,12987941007,"Via S. Bernadette, 55, 00167 Roma, Italia"
ROSSETTI SAS,"Via Maremmana Inferiore, 300",12,Guidonia montecelio,Roma (RM),Lazio,F/9907,11993721007,"Via Maremmana Inferiore, 300, 00012 Guidonia montecelio, Italia"
ROSSI GIAMPIERO,"Via Edoardo Jenner, 109",151,Roma,Roma (RM),Lazio,F/9616,09151300580,"Via Edoardo Jenner, 109, 00151 Roma, Italia"
ROSSI GUENDALINA,"Viale Giulio Agricola, 96",174,Roma,Roma (RM),Lazio,F/9343,08727940580,"Viale Giulio Agricola, 96, 00174 Roma, Italia"
RUSSINO FRANCESCO,"Via Principe Eugenio, 53 - 55",185,Roma,Roma (RM),Lazio,F/9270,06677401009,"Via Principe Eugenio, 53 - 55, 00185 Roma, Italia"
DE REMIGIS MAURIZIO LUCIANO,"Via Tiburtina, 608/D",159,Roma,Roma (RM),Lazio,F/9367,13341481003,"Via Tiburtina, 608/D, 00159 Roma, Italia"
RUSSO LORETA,Viale Palmiro togliatti 944,171,Roma,Roma (RM),Lazio,F/9294,01936510583,"Viale Palmiro togliatti 944, 00171 Roma, Italia"
SABAUDIA DEL DR. MARCO MORI,"Via Sabaudia, 71",171,Roma,Roma (RM),Lazio,F/9558,02151230444,"Via Sabaudia, 71, 00171 Roma, Italia"
SAGRIPANTI FRANCA,"Via Tuscolana, 1258",174,Roma,Roma (RM),Lazio,F/9320,04970700581,"Via Tuscolana, 1258, 00174 Roma, Italia"
SAN GIORGIO SNC,"Via di Macchia Saponara, 64/T",125,Roma,Roma (RM),Lazio,F/9664,07029701005,"Via di Macchia Saponara, 64/T, 00125 Roma, Italia"
FARMACIE SANASI GIUSSANO SAS DI SANASI ARMANDO CARMELO ANTONIO,"Via A. da Giussano, 40",176,Roma,Roma (RM),Lazio,F/9474,11429971002,"Via A. da Giussano, 40, 00176 Roma, Italia"
AXA MADONNETTA SAS DEL DR. RICCARDO SANSONI,"Via Cesare Maccari, 312",125,Roma,Roma (RM),Lazio,F/17298,09258241000,"Via Cesare Maccari, 312, 00125 Roma, Italia"
SANTA RITA,"Viale XXI Aprile, 2e 2f",162,Roma,Roma (RM),Lazio,F/9257,10844240589,"Viale XXI Aprile, 2e 2f, 00162 Roma, Italia"
SATULLI MARCO,"Corso Matteotti, 83/8",41,Albano laziale,Roma (RM),Lazio,F/10024,04700991005,"Corso Matteotti, 83/8, 00041 Albano laziale, Italia"
MORENA - DR. SACARNO SAS,"Via Stazione di Ciampino, 56-58",118,Roma,Roma (RM),Lazio,F/9318,11496381002,"Via Stazione di Ciampino, 56-58, 00118 Roma, Italia"
PASSERINI NICOLA & C. SAS,"Via Cadorna, 31",28,Subiaco,Roma (RM),Lazio,F/9865,13246871001,"Via Cadorna, 31, 00028 Subiaco, Italia"
SEMPIONE SNC R. RINALDI E. RINALDI E F. SCARPELLINI,"Corso Sempione, 16",141,Roma,Roma (RM),Lazio,F/9125,06645591006,"Corso Sempione, 16, 00141 Roma, Italia"
SENATO,"Corso Rinascimento, 50",186,Roma,Roma (RM),Lazio,F/9255,10772830583,"Corso Rinascimento, 50, 00186 Roma, Italia"
SENESI DR. ALFREDO,"Via Col di Lana, 148/166",43,Ciampino,Roma (RM),Lazio,F/10054,00182941005,"Via Col di Lana, 148/166, 00043 Ciampino, Italia"
LOMBARDI CHIARA,"Circonvallazione Ostiense, 142",154,Roma,Roma (RM),Lazio,F/9461,13944501009,"Circonvallazione Ostiense, 142, 00154 Roma, Italia"
DI SIENA CINZIA,"Via Gino Capponi, 65",179,Roma,Roma (RM),Lazio,F/9409,09483171006,"Via Gino Capponi, 65, 00179 Roma, Italia"
PIGNATELLI FRANCESCO,"Via Aquila, snc",60,Ponzano romano,Roma (RM),Lazio,F/9816,00922350574,"Via Aquila, snc, 00060 Ponzano romano, Italia"
SIMEONI ROBERTO,"Via Pio XII, 60",33,Cave,Roma (RM),Lazio,F/9933,10374480589,"Via Pio XII, 60, 00033 Cave, Italia"
SORRENTINO LUCIA,"Viale Rossini, 70/72",198,Roma,Roma (RM),Lazio,F/9173,07097750587,"Viale Rossini, 70/72, 00198 Roma, Italia"
"SPARTIVENTO SNC DEI DR.I BIANCAPAOLA PETTINELLA, LANZELLOTTI F. E F.","Via A. Piola Caselli, 82/b-c",122,Roma,Roma (RM),Lazio,F/9580,07260581009,"Via A. Piola Caselli, 82/b-c, 00122 Roma, Italia"
EMILIANI ANTONIO MARIA,"Via S. Elpidio a Mare, 21",10,Roma,Roma (RM),Lazio,F/9330,07078810582,"Via S. Elpidio a Mare, 21, 00010 Roma, Italia"
ANGELONI GIOVANNA,"Via La Spezia, 96/98",182,Roma,Roma (RM),Lazio,F/9513,09016731003,"Via La Spezia, 96/98, 00182 Roma, Italia"
EREDI DE LAURENZI DELLE DR.SSE ANNA E LUCIA PERETTI & C. SNC,"Via Mura dei Francesi, 23",43,Ciampino,Roma (RM),Lazio,F/10042,05970251004,"Via Mura dei Francesi, 23, 00043 Ciampino, Italia"
EREDI DI VINCENTI MARCELLO TOMMASO,"Piazza della Rovere, 2/C",122,Roma,Roma (RM),Lazio,F/9651,07289721008,"Piazza della Rovere, 2/C, 00122 Roma, Italia"
ROSA BARBARA,"Via Tommaso da Celano, 122",179,Roma,Roma (RM),Lazio,F/9548,11151231005,"Via Tommaso da Celano, 122, 00179 Roma, Italia"
EREDI ZAMPONI PAOLO MARIA,"Via dei Colombi, 84/A",169,Roma,Roma (RM),Lazio,F/9400,07133761002,"Via dei Colombi, 84/A, 00169 Roma, Italia"
MITIDIERI ATTILIO,"Via Provinciale, 18",60,Nazzano,Roma (RM),Lazio,F/9836,08723231000,"Via Provinciale, 18, 00060 Nazzano, Italia"
PIAZZA REGINA MARGHERITA DEL DOTT. EMILIO MANFREDI,"Viale Regina Margherita, 221/223",198,Roma,Roma (RM),Lazio,F/9097,11118071007,"Viale Regina Margherita, 221/223, 00198 Roma, Italia"
MINELLI SNC DEI DR.I GIOVANNA E MICHELE MINELLI,"Piazza Rivarola, 8",19,Tivoli,Roma (RM),Lazio,F/9937,07745301007,"Piazza Rivarola, 8, 00019 Tivoli, Italia"
MOLAJONI SNC-CLELIA & MARCO MOLAJONI,"Via dei Durantini, 350-350/a",157,Roma,Roma (RM),Lazio,F/9363,04850871007,"Via dei Durantini, 350-350/a, 00157 Roma, Italia"
MOLINARI FRANCO,"Piazza Mazzini, 34",49,Velletri,Roma (RM),Lazio,F/9978,00437731003,"Piazza Mazzini, 34, 00049 Velletri, Italia"
EREDI DR. G.C. MONTAGNA DI FEDERICA COLLEGATI E FRANCESCA MONTAGNA SNC,"Via C. Ricotti, 42",159,Roma,Roma (RM),Lazio,F/9316,03445430584,"Via C. Ricotti, 42, 00159 Roma, Italia"
MORREALE GIUSEPPE,"Via Tuscolana, 344",181,Roma,Roma (RM),Lazio,F/9423,01275700589,"Via Tuscolana, 344, 00181 Roma, Italia"
MOSCA MASSIMO,"Via delle Galline Bianche, snc",188,Roma,Roma (RM),Lazio,F/9770,10271290586,"Via delle Galline Bianche, snc, 00188 Roma, Italia"
LORPHARMA SAS DI SAVERIO MOZZETTI & C.,"Via Donna Olimpia, 23",152,Roma,Roma (RM),Lazio,F/9627,04571831009,"Via Donna Olimpia, 23, 00152 Roma, Italia"
LORPHARMA SAS DI MOZZETTI SAVERIO & C.,"Via Camillo Serafini, 28",164,Roma,Roma (RM),Lazio,F/9592,02154810580,"Via Camillo Serafini, 28, 00164 Roma, Italia"
CELIMONTANA DI ROCCO POLIMENI,"Via Celimontana, 9/a",184,Roma,Roma (RM),Lazio,F/9136,13208771009,"Via Celimontana, 9/a, 00184 Roma, Italia"
NAZIONALE,"Via Augusto Lupi, 38/40",169,Roma,Roma (RM),Lazio,F/9390,06077091004,"Via Augusto Lupi, 38/40, 00169 Roma, Italia"
NEGRI DR. MASSIMO,"Via Fausti, 5",62,Bracciano,Roma (RM),Lazio,F/9804,13863571009,"Via Fausti, 5, 00062 Bracciano, Italia"
QUIRINALE DR.SSA NISI MARIA CRISTINA,"Via Milano, 54",184,Roma,Roma (RM),Lazio,F/9152,05271620584,"Via Milano, 54, 00184 Roma, Italia"
NOCERINO DOTT. GUIDO SNC,"Largo Giannina Milli, 17-18-18/a",135,Roma,Roma (RM),Lazio,F/9695,13228671007,"Largo Giannina Milli, 17-18-18/a, 00135 Roma, Italia"
LA TORRACCIA SNC DI ORLANDI LUCIANA E CIDONIO GIOVANNA,"Via Donato Menichella, 132",156,Roma,Roma (RM),Lazio,F/9326,08756111004,"Via Donato Menichella, 132, 00156 Roma, Italia"
OSTIENSE SNC DI ANGELI MASSIMO E OLIVIERI ANTONIO,"Via Ostiense, 85-85/A",154,Roma,Roma (RM),Lazio,F/9543,06023681007,"Via Ostiense, 85-85/A, 00154 Roma, Italia"
COLLE AURELIO DOTT. IGNAZIO PAGANO MARIANO,"Via Baldo degli Ubaldi, 97",167,Roma,Roma (RM),Lazio,F/9755,09868540585,"Via Baldo degli Ubaldi, 97, 00167 Roma, Italia"
FARMACIA DELLA STAZIONE Di PAGLIACCI PIERPAOLO,"Via Nettunense, 299",40,Anzio,Roma (RM),Lazio,F/9999,13586091004,"Via Nettunense, 299, 00040 Anzio, Italia"
CALO' MICAELA,"Largo Esopo, 20",124,Roma,Roma (RM),Lazio,F/9582,10698061008,"Largo Esopo, 20, 00124 Roma, Italia"
PALOMBI DAVID,"Piazza S. Sebastiano, 12",21,Affile,Roma (RM),Lazio,F/9858,00575751003,"Piazza S. Sebastiano, 12, 00021 Affile, Italia"
PALOMBO VINCENZO,"Corso Centocelle, 24/26",53,Civitavecchia,Roma (RM),Lazio,F/9172,06994791009,"Corso Centocelle, 24/26, 00053 Civitavecchia, Italia"
PANGIA RAFFAELE VINCENZO,"Via F. Bulgarini, 28",19,Tivoli,Roma (RM),Lazio,F/9934,05381141000,"Via F. Bulgarini, 28, 00019 Tivoli, Italia"
Passarella Nunziato,"Piazza Dante Alighieri, 9",72,Ariccia,Roma (RM),Lazio,F/10049,03698800657,"Piazza Dante Alighieri, 9, 00072 Ariccia, Italia"
PASSARETTA ADA,"Via Enrico Fermi, 1/3/5",146,Roma,Roma (RM),Lazio,F/9600,06214480581,"Via Enrico Fermi, 1/3/5, 00146 Roma, Italia"
SPINACETO SAS DELLA D.SSA MARIA RITA VIGLIOTTA & C.,"Viale Eroi di Cefalonia, 109",128,Roma,Roma (RM),Lazio,F/9545,05990111006,"Viale Eroi di Cefalonia, 109, 00128 Roma, Italia"
TACCONI SILVIA,"Corso Trieste, 3",47,Marino,Roma (RM),Lazio,F/9959,09587041006,"Corso Trieste, 3, 00047 Marino, Italia"
TAGLIAVINI DI CIANCI FRANCESCA E GIUDITTA E C. SAS,"Via Priscilla, 77/79",199,Roma,Roma (RM),Lazio,F/9113,13654031007,"Via Priscilla, 77/79, 00199 Roma, Italia"
TERRONE SNC,"Piazza F. Patellani, snc",38,Valmontone,Roma (RM),Lazio,F/9908,13264951008,"Piazza F. Patellani, snc, 00038 Valmontone, Italia"
EUROPA DI TIMPANO UGO & C. SNC,"Via Cicerone, 2",42,Anzio,Roma (RM),Lazio,F/10010,03833781002,"Via Cicerone, 2, 00042 Anzio, Italia"
TONINELLI SIMONETTA,"Via A. Valenzani, 20",187,Roma,Roma (RM),Lazio,F/9192,08393070589,"Via A. Valenzani, 20, 00187 Roma, Italia"
TORELLI DEL DR. GUIDO TORELLI E C. SAS,"Via del Trullo, 294-296",148,Roma,Roma (RM),Lazio,F/9563,09600211008,"Via del Trullo, 294-296, 00148 Roma, Italia"
TORRESI EREDI DOTT. GIOVANNI TORRESI,"Via Cerveteri, 5/7/9/11",183,Roma,Roma (RM),Lazio,F/9405,13878511008,"Via Cerveteri, 5/7/9/11, 00183 Roma, Italia"
TRECCA SNC DI FLAVIA E ILARIA MASTRANGELI,"Via Emanuele Filiberto, 145",185,Roma,Roma (RM),Lazio,F/9145,13556491002,"Via Emanuele Filiberto, 145, 00185 Roma, Italia"
TURCO STEFANO,"Via Danimarca, 185/187",40,Pomezia,Roma (RM),Lazio,F/10006,09101151000,"Via Danimarca, 185/187, 00040 Pomezia, Italia"
SCACCIAPENSIERI,"Via della Liberazione, 78",48,Nettuno,Roma (RM),Lazio,F/9990,07494501005,"Via della Liberazione, 78, 00048 Nettuno, Italia"
VALENTINI MASSIMO,"Via G.Antamoro, 86/b",137,Roma,Roma (RM),Lazio,F/9114,00825481005,"Via G.Antamoro, 86/b, 00137 Roma, Italia"
VALLE MASSIMO,"Via G. Ciaralli, 13",156,Roma,Roma (RM),Lazio,F/9176,07293750589,"Via G. Ciaralli, 13, 00156 Roma, Italia"
VECCHIARINO GIUSEPPE,"Piazzale Giovanni XXIII, snc",20,Cervara di roma,Roma (RM),Lazio,F/9953,07319041005,"Piazzale Giovanni XXIII, snc, 00020 Cervara di roma, Italia"
VILLAGGIO AZZURRO SNC DEL DR. MURDOCCO PAOLO & C.,"Largo Filippo Juvara, 5",128,Roma,Roma (RM),Lazio,F/9462,07114990588,"Largo Filippo Juvara, 5, 00128 Roma, Italia"
FARMACIA ZAFFIRI DEL DOTT. ZAFFIRI G.M. & C. SNC,"Via di Pietralata, 511",158,Roma,Roma (RM),Lazio,F/9300,14102581007,"Via di Pietralata, 511, 00158 Roma, Italia"
ZANOBI AIDA,"Piazza A.F.Doria Pamphili, 14",149,Roma,Roma (RM),Lazio,F/9584,03261470581,"Piazza A.F.Doria Pamphili, 14, 00149 Roma, Italia"
Ziaco Maria Pia,"Via Roma, 123",40,Pomezia,Roma (RM),Lazio,F/10004,00847431004,"Via Roma, 123, 00040 Pomezia, Italia"
ZUCCARELLO SALVATORE,"Via Gramsci, 42",26,Licenza,Roma (RM),Lazio,F/9926,09931980586,"Via Gramsci, 42, 00026 Licenza, Italia"
FARMACIA PICONE DOTT.SSA ANNAPAOLA,"Via Romana, 165",60,Mazzano romano,Roma (RM),Lazio,F/9806,02221490564,"Via Romana, 165, 00060 Mazzano romano, Italia"
MAZZEI STEFANO,"Viale Angelico, 79",195,Roma,Roma (RM),Lazio,F/9787,07104801001,"Viale Angelico, 79, 00195 Roma, Italia"
TUPPUTI PAOLO,"Via Roberto Malatesta, 35",176,Roma,Roma (RM),Lazio,F/9427,10417101002,"Via Roberto Malatesta, 35, 00176 Roma, Italia"
MERULANA DI G. GUERRA-B. DEL PIO SNC,"Via Merulana, 185/187",185,Roma,Roma (RM),Lazio,F/9211,04211761004,"Via Merulana, 185/187, 00185 Roma, Italia"
CASALBERTONE DELLA DR.SSA FILARDI GEMMA,"Via A. Baldissera, 1/c",159,Roma,Roma (RM),Lazio,F/9317,13479801006,"Via A. Baldissera, 1/c, 00159 Roma, Italia"
