Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
FARMACIA GIOVANNINETTI DI GIOVANNINETTI ATTILIO,"Piazza MAZZINI, 101",20022,Castano primo,Milano (MI),Lombardia,F/3026,09873840962
MELZESE SNC,"Via C. Oreglio, 1",20066,Melzo,Milano (MI),Lombardia,F/18435,06858740969
EUROPEA SCIORTINO,"Via Papa Giovanni XXIII, 19/B",20093,Cologno monzese,Milano (MI),Lombardia,F/3532,12275580152
Dispensario Dr. Lupo,Via Alfieri,20010,Inveruno,Milano (MI),Lombardia,F/17661,01945170023
LUPO FRANCO,"Via Dante, 33",20010,Inveruno,Milano (MI),Lombardia,F/3202,01945170023
DISPENSARIO MUCCHIATI SNC,"Via Dei Mille, 10",20020,Busto garolfo,Milano (MI),Lombardia,F/18558,04591580966
SANTA GIULIA,"Via Bonfadini, 87",20138,Milano,Milano (MI),Lombardia,F/18125,01662890670
Comunale N1,"Via Cappuccini, 1/a",20023,Cerro maggiore,Milano (MI),Lombardia,F/18124,07840210964
Comunale,"Viale Lombardia, 75",20015,Parabiago,Milano (MI),Lombardia,F/18747,07680760969
COMUNALE N.3,"Via Piave, 23",20091,Bresso,Milano (MI),Lombardia,F/3333,12987740151
COMUNALE N.1,"Via Tasso, 87",20091,Bresso,Milano (MI),Lombardia,F/3375,12987740151
COMUNALE N.1,"Via Andrea Ponti, 29",20010,Cornaredo,Milano (MI),Lombardia,F/3092,11758500158
Comunale N.2,"Piazzetta Europa, 11",20010,Cornaredo,Milano (MI),Lombardia,F/3198,11758500158
LEGNANO SNC,"Via Canazza, 8",20025,Legnano,Milano (MI),Lombardia,F/3082,04140520968
COMUNALE N.4,Via Papa Giovanni XXIII,20091,Bresso,Milano (MI),Lombardia,F/3339,00935810150
COMUNALE N.5,"Via Vittorio Veneto, 26",20091,Bresso,Milano (MI),Lombardia,F/3371,00935810150
COMUNALE N.2,"Via A.Strada, 56",20091,Bresso,Milano (MI),Lombardia,F/3399,00935810150
AIROLDI SNC DR. AIROLDI GIUSEPPE & C.,"Centro Commerciale, 25",20090,Segrate,Milano (MI),Lombardia,F/3271,05270430969
ALLEANZA FARMACEUTICA,"Via Cesare Correnti, 2",20123,Milano,Milano (MI),Lombardia,F/2802,02309010151
ALZAIA PAVESE SAS DR. CRUPI NICOLA & C.,"Via Mario Pichi, 9",20149,Milano,Milano (MI),Lombardia,F/2886,04130990965
ANTICA FARMACIA DEL VERZIERE DI ROSANNA VIGANO' & C. SNC,"Corso 22 Marzo, 52/7",20137,Milano,Milano (MI),Lombardia,F/2666,09566000965
ANTICA FARMACIA DIANA,"Piazzale Oberdan, 4",20129,Milano,Milano (MI),Lombardia,F/2958,12522980155
ARIBERTO SAS,"Via Edmondo De Amicis, 51",20123,Milano,Milano (MI),Lombardia,F/2898,10811240158
COMUNALE N.2,"Piazza Carlo Marx, 5",20030,Senago,Milano (MI),Lombardia,F/18166,11673490154
COMUNALE 1,"Piazza Tricolore, 42",20030,Senago,Milano (MI),Lombardia,F/3074,11673490154
Comunale 2,"Via Dei Pini, 3",20090,Pieve emanuele,Milano (MI),Lombardia,F/17003,04239310156
COMUNALE 1,"Piazza Giacomo Puccini, 8",20090,Pieve emanuele,Milano (MI),Lombardia,F/3232,04239310156
AZIENDA SPECIALE FARMACEUTICA,"Piazza XXV Aprile, 20",20010,Pogliano milanese,Milano (MI),Lombardia,F/3192,12259560154
BAIO SNC Dr.ssa Buccino Clelia,"Via Vittorio Veneto, 5/D",20091,Bresso,Milano (MI),Lombardia,F/3360,01522380150
Balocco Snc,"Via Roma, 18",20077,Melegnano,Milano (MI),Lombardia,F/3224,06729810967
BARTOLOTTI SAS,"Via Trieste, 20",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3342,06569220962
BENAGLIO NICOLA & C. SNC,"Via Garibaldi, 87",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3525,02431010962
LISSONE FARMACIE SPA - COMUNALE CARUGATE 1,"Via A. De Gasperi, 6",20061,Carugate,Milano (MI),Lombardia,F/3251,02787850961
NUOVA BERETTA SNC DI SILVIA BASSI & C.,"Viale Bligny, 47",20136,Milano,Milano (MI),Lombardia,F/2601,08586580964
BICOCCA SNC,"Viale Suzzani, 273",20162,Milano,Milano (MI),Lombardia,F/2672,05381100964
DE LUCA SNC,"Via Nino Bixio, 1",20129,Milano,Milano (MI),Lombardia,F/2918,06759200964
Dispensario Dr. Bozzelli,"Via Luigi Gatti, 21",20060,Truccazzano,Milano (MI),Lombardia,F/17662,05087930961
BOZZELLI,"Via Europa, 4/A",20060,Truccazzano,Milano (MI),Lombardia,F/3233,05087930961
COMUNALE N. 2,"Via Toti, 25",20061,Carugate,Milano (MI),Lombardia,F/18701,02544470962
MUNICIPALE N.16,"Via Suzzani, 155",20162,Milano,Milano (MI),Lombardia,F/2713,01199250158
MUNICIPALE N.15,"VIa Pierlombardo, 19",20135,Milano,Milano (MI),Lombardia,F/2714,01199250158
MUNICIPALE N.13,"Piazza Bonomelli, 4",20139,Milano,Milano (MI),Lombardia,F/2717,01199250158
MUNICIPALE N.25,"Via Forze Armate, 44",20147,Milano,Milano (MI),Lombardia,F/2720,01199250158
MUNICIPALE N.10,"Via Palanzone, 32",20162,Milano,Milano (MI),Lombardia,F/2722,01199250158
MUNICIPALE N.81,"Via Chiarelli, 10",20151,Milano,Milano (MI),Lombardia,F/2723,01199250158
MUNICIPALE N.8,"Via Val Maira, 14",20162,Milano,Milano (MI),Lombardia,F/2726,01199250158
MUNICIPALE N.20,"Piazza Axum, 5/3",20151,Milano,Milano (MI),Lombardia,F/2727,01199250158
MUNICIPALE N.28,"Via Teodosio, 104",20131,Milano,Milano (MI),Lombardia,F/2728,01199250158
MUNICIPALE N.29,"Via Lessona, 55",20157,Milano,Milano (MI),Lombardia,F/2729,01199250158
MUNICIPALE N.12,"VIa Iglesias, 48",20128,Milano,Milano (MI),Lombardia,F/2732,01199250158
MUNICIPALE N.24,"Via Morgantini, 14",20148,Milano,Milano (MI),Lombardia,F/2733,01199250158
MUNICIPALE N.33,"Via Angeloni, 33",20161,Milano,Milano (MI),Lombardia,F/2734,01199250158
MUNICIPALE N.37,"Via Vetta d'Italia, 18",20144,Milano,Milano (MI),Lombardia,F/2735,01199250158
MUNICIPALE N.31,"Via Vignoli, 42/44",20146,Milano,Milano (MI),Lombardia,F/2736,01199250158
MUNICIPALE N.35,"Via Petrocchi, 21",20127,Milano,Milano (MI),Lombardia,F/2737,01199250158
MUNICIPALE N.34,"Via Marucchetti, 27",20139,Milano,Milano (MI),Lombardia,F/2742,01199250158
MUNICIPALE N.39,"Piazza Anita Garibaldi, 8",20153,Milano,Milano (MI),Lombardia,F/2743,01199250158
MUNICIPALE N.36,"Via Nicolaiewka, 3",20152,Milano,Milano (MI),Lombardia,F/2744,01199250158
MUNICIPALE N.80,Piazza Zavattari ang.Murillo,20149,Milano,Milano (MI),Lombardia,F/2748,01199250158
MUNICIPALE N.41,"Viale Suzzani, 239",20162,Milano,Milano (MI),Lombardia,F/2749,01199250158
MUNICIPALE N.49,"Via Fratelli Zanzottera, 12",20153,Milano,Milano (MI),Lombardia,F/2763,01199250158
MUNICIPALE N.46,"Via Cignoli, 1",20151,Milano,Milano (MI),Lombardia,F/2767,01199250158
MUNICIPALE N.47,"Via Foppa, 5",20121,Milano,Milano (MI),Lombardia,F/2768,01199250158
MUNICIPALE N.48,"Viale Aruzzi, 4",20100,Milano,Milano (MI),Lombardia,F/2772,01199250158
MUNICIPALE N.57,"Via Del Pettirosso, 16",20147,Milano,Milano (MI),Lombardia,F/2773,01199250158
MUNICIPALE N.14,"Via Grigna, 9",20155,Milano,Milano (MI),Lombardia,F/2776,01199250158
MUNICIPALE N.58,"Via Palmanova, 67",20132,Milano,Milano (MI),Lombardia,F/2777,01199250158
MUNICIPALE N.59,"Via Zuretti, 37",20125,Milano,Milano (MI),Lombardia,F/2778,01199250158
LLOYD FARMACIA COMUNALE N.60,"Via D'Agrate, 1",20139,Milano,Milano (MI),Lombardia,F/2779,01199250158
MUNICIPALE N.61,"Via R. Bonghi, 22",20141,Milano,Milano (MI),Lombardia,F/2780,01199250158
MUNICIPALE N.62,"Via Illirico, 2",20133,Milano,Milano (MI),Lombardia,F/2781,01199250158
MUNICIPALE N.63,"Via G. Murat, 5",20159,Milano,Milano (MI),Lombardia,F/2783,01199250158
MUNICIPALE N.64,"Via Arbe, 65",20125,Milano,Milano (MI),Lombardia,F/2784,01199250158
MUNICIPALE N.65,"Via Compagnoni, 24",20129,Milano,Milano (MI),Lombardia,F/2785,01199250158
MUNICIPALE N.66,"Via Alcuino, 18",20149,Milano,Milano (MI),Lombardia,F/2786,01199250158
MUNICIPALE N.67,"Via Casoretto, 1",20131,Milano,Milano (MI),Lombardia,F/2789,01199250158
MUNICIPALE N.70,"Via Famagosta, 40",20142,Milano,Milano (MI),Lombardia,F/2791,01199250158
MUNICIPALE N.71,"Via Battistoni Sassi, 24",20133,Milano,Milano (MI),Lombardia,F/2792,01199250158
MUNICIPALE N.72,"Via Cucchiari, 15",20155,Milano,Milano (MI),Lombardia,F/2793,01199250158
MUNICIPALE N.68,Via Sacco ang. P.za De Angeli,20146,Milano,Milano (MI),Lombardia,F/2794,01199250158
MUNICIPALE N.74,"Piazza Falterona, 3",20148,Milano,Milano (MI),Lombardia,F/2797,01199250158
MUNICIPALE N.78,"Via Sismondi, 67",20133,Milano,Milano (MI),Lombardia,F/2804,01199250158
MUNICIPALE N.79,"Via De Ruggero, 8",20142,Milano,Milano (MI),Lombardia,F/2805,01199250158
MUNICIPALE N.83,"Viale Monza, 226",20128,Milano,Milano (MI),Lombardia,F/2809,01199250158
MUNICIPALE N.84,"Via De Pretis, 1",20142,Milano,Milano (MI),Lombardia,F/2840,01199250158
MUZIO,"Via Michelangelo, 1F",20060,Basiano,Milano (MI),Lombardia,F/3491,01539600187
MAZZOLENI SNC,"Via Nicola Piccinni, 1/3",20131,Milano,Milano (MI),Lombardia,F/2643,01032660159
NUOVA,"Via Di Vittorio, 47",20097,San donato milanese,Milano (MI),Lombardia,F/3295,08587870968
ORIO SNC,"Piazza 6 Febbraio, 16",20145,Milano,Milano (MI),Lombardia,F/2688,07830220963
PADRE PIO,"Via F.lli di Dio, 79",20099,Sesto san giovanni,Milano (MI),Lombardia,F/3535,02396940963
PAGANI SNCdi PAGANI LUCIA & C,"Piazzetta del Commercio, 27",20080,Basiglio,Milano (MI),Lombardia,F/3323,08419310969
PALAZZOLO DEL DR. DANIELE OTTAVIO,"Viale Montenero, 37",20135,Milano,Milano (MI),Lombardia,F/2651,09127160969
PALTRINIERI,"Via Cooperazione, 20",20095,Cusano milanino,Milano (MI),Lombardia,F/3502,06268880967
COMUNALE N.3,"Via Roma, 45",20037,Paderno dugnano,Milano (MI),Lombardia,F/3089,02286490962
COMUNALE N.4,"Strada Provinciale, 44 c/o Euromercato",20037,Paderno dugnano,Milano (MI),Lombardia,F/3173,02286490962
COMUNALE N.4,"Via Magellano, 5",20094,Corsico,Milano (MI),Lombardia,F/3101,12130830150
Giardino,"Via Calderini, 3",20123,Milano,Milano (MI),Lombardia,F/18371,00774640155
COOP.FARM.DUOMO,"Via Orefici, 2",20123,Milano,Milano (MI),Lombardia,F/2612,00774640155
COOP.FARM.VITTORIA,"Via Fontana 1 - Angolo C.so Porta Vittoria, 36",20122,Milano,Milano (MI),Lombardia,F/2613,00774640155
COOP.FARM.CANONICA,"Via Canonica, 6",20154,Milano,Milano (MI),Lombardia,F/2614,00774640155
COOP.FARM.PONTACCIO,"Via Pontaccio, 22",20121,Milano,Milano (MI),Lombardia,F/2615,00774640155
COOP.FARM.SEMPIONE,"Piazzale Sempione, 8",20154,Milano,Milano (MI),Lombardia,F/2616,00774640155
Dispensario Castellani,"Piazza Iv Novembre, 1",20060,Pozzo d'adda,Milano (MI),Lombardia,F/17668,03578760138
CASTELVETRO SNC,"Via P. Della Francesca, 38",20154,Milano,Milano (MI),Lombardia,F/2947,11973480152
CAVALLI,"Via Candiani, 122",20158,Milano,Milano (MI),Lombardia,F/2878,09629510158
CENTRALE,"Piazza Dubini, 21",20010,Cornaredo,Milano (MI),Lombardia,F/3136,09202570157
BELLONI,"Via Fratelli Kennedy, 23",20090,Pieve emanuele,Milano (MI),Lombardia,F/3272,02315320180
CENTRALE SNC DEL DR. LUIGI VIGANO' & C.,"Piazza Gramsci, 39",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3479,05742850968
FANFONI,"Via Trieste, 11",20020,Cesate,Milano (MI),Lombardia,F/3058,03364970123
Dispensario Dr. Chiaudani,"Via Carati, 8/10",20017,Rho,Milano (MI),Lombardia,F/17658,08995190157
CHIAUDANI,"Via Fosse Ardeatine, 2",20017,Rho,Milano (MI),Lombardia,F/3133,08995190157
S. GIOVANNI DR. GIORGIO SANTAGOSTINO,"Via Vittorio Veneto, 15",20080,Cisliano,Milano (MI),Lombardia,F/3063,08726180964
COLUCCI DELLA DR.SSA COLUCCI NORINA,"Via G.Pascoli, 9",20093,Cologno monzese,Milano (MI),Lombardia,F/3516,06393390965
SALUS SAS DR. ALESSANDRO MACRI' & C.,"Via Cristoforo Colombo, 36/b",20062,Cassano d'adda,Milano (MI),Lombardia,F/3307,08268110965
COMUNALE,"Via Piantadosi, 8",20090,Opera,Milano (MI),Lombardia,F/3257,06837310157
BORGO SAN MARTINO SNC,"Via XXIV Maggio, 168",20025,Legnano,Milano (MI),Lombardia,F/3067,04140530967
COMUNALE N.1,"Via Re Umberto, 29",20020,Lainate,Milano (MI),Lombardia,F/3069,00856780150
COMUNALE N.1,"Via Cesare Battisti, 6",20016,Pero,Milano (MI),Lombardia,F/3075,11792820158
COMUNALE N.1,"Via Italia, 94",20037,Paderno dugnano,Milano (MI),Lombardia,F/3049,00884300153
COMUNALE N.2,"Via Sabotino, 94",20037,Paderno dugnano,Milano (MI),Lombardia,F/3071,00884300153
COMUNALE N.2,"Via Boccaccio, 19",20013,Magenta,Milano (MI),Lombardia,F/3056,01082490150
COMUNALE N.1,Via Isonzo,20013,Magenta,Milano (MI),Lombardia,F/3072,01082490150
COOP.FARM.MANZONI,"Via Bigli, 28 (ang.via Manzoni)",20121,Milano,Milano (MI),Lombardia,F/2617,00774640155
COOP.FARM.S.AGNESE,"Via Giardini Aristice Calderini, 3",20123,Milano,Milano (MI),Lombardia,F/2618,00774640155
COOP.FARM.VERCELLI,"Corso Vercelli, 5",20144,Milano,Milano (MI),Lombardia,F/2619,00774640155
COOP.FARM.LIMA,"Via Plinio, 1 ( ang.Piazza Lima)",20129,Milano,Milano (MI),Lombardia,F/2620,00774640155
COOP.FARM.BAIAMONTI,"Piazza Baiamonti, 1",20154,Milano,Milano (MI),Lombardia,F/2621,00774640155
COOP.FARM.COLOMBO,"Corso Colombo, 1",20144,Milano,Milano (MI),Lombardia,F/2622,00774640155
COOP.FARM.LAMARMORA,"Via Lamarmora, 2",20122,Milano,Milano (MI),Lombardia,F/2623,00774640155
CORDUSIO SNC,"Via Cordusio, 2",20123,Milano,Milano (MI),Lombardia,F/2922,08741670965
CORSICO,"Corso Lodi, 19",20135,Milano,Milano (MI),Lombardia,F/2929,11650210153
POPOLARE,"Via Mazzini, 65",20078,San colombano al lambro,Milano (MI),Lombardia,F/2456,07273300157
DEL MERCATO,"Via Varsavia, 4",20137,Milano,Milano (MI),Lombardia,F/2664,00875580151
DELLA CITTADELLA,"Corso P.ta Ticinese, 50",20123,Milano,Milano (MI),Lombardia,F/2659,02939320152
DELLE QUERCE DEL DOTT. SERGIO SPITALERI & C. SAS,"Via G. Forni, 34",20161,Milano,Milano (MI),Lombardia,F/2824,09065840960
DONATI DI DONATI GIUSEPPINA & C. SNC,"Via Italia, 18",20064,Gorgonzola,Milano (MI),Lombardia,F/3281,10703560150
CORONA,"Via Carroccio, 19",20083,Gaggiano,Milano (MI),Lombardia,F/3199,01652120187
FODERA,"Piazza Liberta', 6",20056,Trezzo sull'adda,Milano (MI),Lombardia,F/3359,06259470968
FALQUI,"Viale Zara, 145",20159,Milano,Milano (MI),Lombardia,F/2811,10169520151
FERRARINI SNC DI VIGANO' SOFIA & C.,"Piazza 5 Giornate, 6",20129,Milano,Milano (MI),Lombardia,F/2753,04026870966
FIORDALISI,"Via Fiordalisi, 2",20146,Milano,Milano (MI),Lombardia,F/2827,08121600152
FORLANINI,"Viale Forlanini, 50/5",20138,Milano,Milano (MI),Lombardia,F/2865,09833270151
G.DUE,"Via Falck, 19/A",20151,Milano,Milano (MI),Lombardia,F/2909,02376000960
GABBIANI DE VECCHI ENEA,"Via della Moscova, 22",20121,Milano,Milano (MI),Lombardia,F/2686,04127060962
GARDEN CITY SAS DEL DR. MAZZANTINI MASSIMO & C.,"Via Galvani, 20",20093,Cologno monzese,Milano (MI),Lombardia,F/3455,07117500962
GASPARI,"Via Liberta', 2",20070,Cerro al lambro,Milano (MI),Lombardia,F/3258,05065180969
DELL'ANGELO S.A.S.,"Piazza Della Repubblica, 9",20066,Melzo,Milano (MI),Lombardia,F/3261,07333660962
GENOVA SAS,"Corso Genova, 27",20123,Milano,Milano (MI),Lombardia,F/2867,07210180969
GENOVESE SNC DI GENOVESE GIUSEPPE & C.,"Via Gandhi, 3",20017,Rho,Milano (MI),Lombardia,F/3104,04121570966
GIAMBELLINO,"Via Giambellino ,64",20146,Milano,Milano (MI),Lombardia,F/2844,09013310157
GRANCIA SAS DI DR. GRITTI CLAUDIO ANGELO & C. SAS,"Via Roma, 54",20020,Lainate,Milano (MI),Lombardia,F/3048,06723980964
GRANCIA SAS,"Via Grancia, 40/n",20020,Lainate,Milano (MI),Lombardia,F/3204,06723980964
GRASSI LUISELLA,"Via Roma, 21",20060,Bellinzago lombardo,Milano (MI),Lombardia,F/3315,01398400182
GRILLI SNC,"Via C. Dolci, 6",20149,Milano,Milano (MI),Lombardia,F/2892,10739420155
BOCCACCIO,"Via Boccaccio, 26",20123,Milano,Milano (MI),Lombardia,F/2810,04636170153
BRIANZA SNC,"Viale Brianza, 23",20127,Milano,Milano (MI),Lombardia,F/3016,05675450968
BROLETTO,"Via Broletto, 30",20121,Milano,Milano (MI),Lombardia,F/2807,08043670960
SAN CARLO SNC,"Via Parri, 57",20097,San donato milanese,Milano (MI),Lombardia,F/3256,05894160968
CAIEZZA,"Via Roma, 13",20010,Bareggio,Milano (MI),Lombardia,F/3023,07744040960
CALDARINI,"Via Grossich, 11/15",20131,Milano,Milano (MI),Lombardia,F/2973,00626580153
PASETTI SNC,"Via Umberto I, 44",20020,Robecchetto con induno,Milano (MI),Lombardia,F/3099,05085810967
PAVESIO SAS,"Via Giorgio Chavez, 19",20131,Milano,Milano (MI),Lombardia,F/2837,05528980963
PENATI,"Strada Provinciale 208, km 2",20061,Carugate,Milano (MI),Lombardia,F/3222,08502433096
PERINO,"Via Toti, 1/A",20020,Dairago,Milano (MI),Lombardia,F/3126,02145460123
Dispensario Dr.ssa Borgognoni Luisa,,20080,Calvignasco,Milano (MI),Lombardia,F/17584,01121480188
LIBERTY DI MANGIMI,"Via San Paolo, 7",20121,Milano,Milano (MI),Lombardia,F/2999,01682210032
LOMOLINO SNC,"Via M. Gorki, 8",20098,San giuliano milanese,Milano (MI),Lombardia,F/3317,12984170154
LONGARI,"Via I Maggio, 36",20021,Baranzate,Milano (MI),Lombardia,F/3141,09872330155
LORETO SNC DEL DR. GRECO ANTONIO MARIA & C.,"Piazzale Loreto, 7",20131,Milano,Milano (MI),Lombardia,F/2887,10703870153
SACCHI SNC DI SACCHI BERTRANDO & NOVARA ALESSANDRO,"Via Anfossi, 9",20135,Milano,Milano (MI),Lombardia,F/3015,03614190969
SANT'AGOSTINO,"Via S. Vincenzo, 1",20123,Milano,Milano (MI),Lombardia,F/2660,08972030962
SARDEGNA S.N.C. -DR. DAVIDE MAZZOLI &C.,"Via Sardegna, 31",20146,Milano,Milano (MI),Lombardia,F/2630,05345570963
SCHIAVIO SNC,"Via Carducci, 11",20123,Milano,Milano (MI),Lombardia,F/2649,05271460965
SCIENTIFICA,"Via C. Menotti, 18/21",20129,Milano,Milano (MI),Lombardia,F/2989,01033180157
SCOTTI ANGELA,"Via Manzoni, 14",20091,Bresso,Milano (MI),Lombardia,F/3468,09973310155
SEGRE DELLA DR.SSA DEBORAH SEGRE,"Via Primaticcio, 217",20147,Milano,Milano (MI),Lombardia,F/2880,07475020967
SEMPIO DEI DR.I DANIELE SEMPIO E GIANANTONIO SEMPIO,"Via Montegani, 4",20141,Milano,Milano (MI),Lombardia,F/2700,09699540960
SETTALA,"Via Trento, 27",20090,Settala,Milano (MI),Lombardia,F/3234,04143350967
SOLARI,"Via Solari, 40",20144,Milano,Milano (MI),Lombardia,F/2829,07796270960
SUSA SAS DR. LIBERO BUCCARELLI & C.,"Piazzale Susa, 6",20133,Milano,Milano (MI),Lombardia,F/2970,12376240151
TADDEI SNC DI BRUNA TADDEI & C.,"Via Airolo, 36",20159,Milano,Milano (MI),Lombardia,F/2676,08615080960
TETTONI,"Via Giovanni XXIII, 53",20010,Pregnana milanese,Milano (MI),Lombardia,F/3093,01652290154
TICINESE,"Corso S. Gottardo, 1",20136,Milano,Milano (MI),Lombardia,F/2636,01660590157
TOLSTOJ DI DR. HASSAN SANDRO,"Via Leone Tolstoj, 17",20146,Milano,Milano (MI),Lombardia,F/2628,09287610969
TONALE,"Via Tonale, 26",20125,Milano,Milano (MI),Lombardia,F/2694,03866530151
TOSCHI,"Viale Corsica, 42",20137,Milano,Milano (MI),Lombardia,F/2693,00793230152
UNGHERIA DI DE LUCA EREDI SDF,"Viale Ungheria, 10",20138,Milano,Milano (MI),Lombardia,F/2752,10635170151
VARESINA SAS DR.SSA CRAVASCHINO MONICA & C.,"Via Trieste, 1/D",20021,Baranzate,Milano (MI),Lombardia,F/3180,05261460967
VENTO Andreulli,"Via G. Quarenghi, 40/1",20151,Milano,Milano (MI),Lombardia,F/2899,04727500961
VERCESI SAS,"Via Cinque Maggio, 1",20157,Milano,Milano (MI),Lombardia,F/2877,07492520965
CULZONI SNC DEL DR. EUGENIO CULZONI & C.,"Via Bianchi, 18/A",20019,Settimo milanese,Milano (MI),Lombardia,F/3043,06386160961
CATTANEO,"Via S. Gimignano, 13/A",20146,Milano,Milano (MI),Lombardia,F/2721,05665730965
D'AMBROSIO F. SNC DR. RUSSO GABRIELE & C.,"Via Baranzate, 45",20026,Novate milanese,Milano (MI),Lombardia,F/3131,05435840961
DE CARLO SNC,"Via 4 Novembre, 32",20090,Vimodrone,Milano (MI),Lombardia,F/3267,04950050965
DEL CORSO,"Corso Italia, 53",20025,Legnano,Milano (MI),Lombardia,F/3190,02406650123
PLEBISCITI SNC,"Corso Plebisciti, 7",20129,Milano,Milano (MI),Lombardia,F/2754,05752130962
