Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
"Farmacia Mezzocammino Snc Di Calabrese Giuseppe, Diego E Bordi Federica","Viale Gianluigi Bonelli, 84a/b/bi",127,Roma,Roma (RM),Lazio,F/19574,14278851002,"Viale Gianluigi Bonelli, 84a/b/bi, 00127 Roma, Italia"
Farmacia Castel Di Leva Snc Delle Dr.sse Silvia Di Giammarino E Maria Lanotte,"Via Di Castel Di Leva, 263",134,Roma,Roma (RM),Lazio,F/19498,14236161007,"Via Di Castel Di Leva, 263, 00134 Roma, Italia"
Farmacia Assistenziale A.n.m.i.g.,"Lungotevere Castello, 2",193,Roma,Roma (RM),Lazio,F/18075,2114911007,"Lungotevere Castello, 2, 00193 Roma, Italia"
Barberini Dr.i Gangemi Antonio E Rosa Snc,"Via A. Millevoi, 37",143,Roma,Roma (RM),Lazio,F/18395,6096301004,"Via A. Millevoi, 37, 00143 Roma, Italia"
Farmacia Policlinico,"Via G.B. Morgagni, 30/C-30/D",161,Roma,Roma (RM),Lazio,F/9099,8425831008,"Via G.B. Morgagni, 30/C-30/D, 00161 Roma, Italia"
EREDI DI VINCENTI MARCELLO TOMMASO,"Piazza della Rovere, 2/C",122,Roma,Roma (RM),Lazio,F/9651,7289721008,"Piazza della Rovere, 2/C, 00122 Roma, Italia"
ROSA BARBARA,"Via Tommaso da Celano, 122",179,Roma,Roma (RM),Lazio,F/9548,11151231005,"Via Tommaso da Celano, 122, 00179 Roma, Italia"
EREDI ZAMPONI PAOLO MARIA,"Via dei Colombi, 84/A",169,Roma,Roma (RM),Lazio,F/9400,7133761002,"Via dei Colombi, 84/A, 00169 Roma, Italia"
PIAZZA REGINA MARGHERITA DEL DOTT. EMILIO MANFREDI,"Viale Regina Margherita, 221/223",198,Roma,Roma (RM),Lazio,F/9097,11118071007,"Viale Regina Margherita, 221/223, 00198 Roma, Italia"
MOLAJONI SNC-CLELIA & MARCO MOLAJONI,"Via dei Durantini, 350-350/a",157,Roma,Roma (RM),Lazio,F/9363,4850871007,"Via dei Durantini, 350-350/a, 00157 Roma, Italia"
EREDI DR. G.C. MONTAGNA DI FEDERICA COLLEGATI E FRANCESCA MONTAGNA SNC,"Via C. Ricotti, 42",159,Roma,Roma (RM),Lazio,F/9316,3445430584,"Via C. Ricotti, 42, 00159 Roma, Italia"
MORREALE GIUSEPPE,"Via Tuscolana, 344",181,Roma,Roma (RM),Lazio,F/9423,1275700589,"Via Tuscolana, 344, 00181 Roma, Italia"
MOSCA MASSIMO,"Via delle Galline Bianche, snc",188,Roma,Roma (RM),Lazio,F/9770,10271290586,"Via delle Galline Bianche, snc, 00188 Roma, Italia"
LORPHARMA SAS DI SAVERIO MOZZETTI & C.,"Via Donna Olimpia, 23",152,Roma,Roma (RM),Lazio,F/9627,4571831009,"Via Donna Olimpia, 23, 00152 Roma, Italia"
LORPHARMA SAS DI MOZZETTI SAVERIO & C.,"Via Camillo Serafini, 28",164,Roma,Roma (RM),Lazio,F/9592,2154810580,"Via Camillo Serafini, 28, 00164 Roma, Italia"
CELIMONTANA DI ROCCO POLIMENI,"Via Celimontana, 9/a",184,Roma,Roma (RM),Lazio,F/9136,13208771009,"Via Celimontana, 9/a, 00184 Roma, Italia"
NAZIONALE,"Via Augusto Lupi, 38/40",169,Roma,Roma (RM),Lazio,F/9390,6077091004,"Via Augusto Lupi, 38/40, 00169 Roma, Italia"
QUIRINALE DR.SSA NISI MARIA CRISTINA,"Via Milano, 54",184,Roma,Roma (RM),Lazio,F/9152,5271620584,"Via Milano, 54, 00184 Roma, Italia"
NOCERINO DOTT. GUIDO SNC,"Largo Giannina Milli, 17-18-18/a",135,Roma,Roma (RM),Lazio,F/9695,13228671007,"Largo Giannina Milli, 17-18-18/a, 00135 Roma, Italia"
LA TORRACCIA SNC DI ORLANDI LUCIANA E CIDONIO GIOVANNA,"Via Donato Menichella, 132",156,Roma,Roma (RM),Lazio,F/9326,8756111004,"Via Donato Menichella, 132, 00156 Roma, Italia"
OSTIENSE SNC DI ANGELI MASSIMO E OLIVIERI ANTONIO,"Via Ostiense, 85-85/A",154,Roma,Roma (RM),Lazio,F/9543,6023681007,"Via Ostiense, 85-85/A, 00154 Roma, Italia"
COLLE AURELIO DOTT. IGNAZIO PAGANO MARIANO,"Via Baldo degli Ubaldi, 97",167,Roma,Roma (RM),Lazio,F/9755,9868540585,"Via Baldo degli Ubaldi, 97, 00167 Roma, Italia"
CALO' MICAELA,"Largo Esopo, 20",124,Roma,Roma (RM),Lazio,F/9582,10698061008,"Largo Esopo, 20, 00124 Roma, Italia"
PASSARETTA ADA,"Via Enrico Fermi, 1/3/5",146,Roma,Roma (RM),Lazio,F/9600,6214480581,"Via Enrico Fermi, 1/3/5, 00146 Roma, Italia"
SPINACETO SAS DELLA D.SSA MARIA RITA VIGLIOTTA & C.,"Viale Eroi di Cefalonia, 109",128,Roma,Roma (RM),Lazio,F/9545,5990111006,"Viale Eroi di Cefalonia, 109, 00128 Roma, Italia"
TAGLIAVINI DI CIANCI FRANCESCA E GIUDITTA E C. SAS,"Via Priscilla, 77/79",199,Roma,Roma (RM),Lazio,F/9113,13654031007,"Via Priscilla, 77/79, 00199 Roma, Italia"
TONINELLI SIMONETTA,"Via A. Valenzani, 20",187,Roma,Roma (RM),Lazio,F/9192,8393070589,"Via A. Valenzani, 20, 00187 Roma, Italia"
TORELLI DEL DR. GUIDO TORELLI E C. SAS,"Via del Trullo, 294-296",148,Roma,Roma (RM),Lazio,F/9563,9600211008,"Via del Trullo, 294-296, 00148 Roma, Italia"
TORRESI EREDI DOTT. GIOVANNI TORRESI,"Via Cerveteri, 5/7/9/11",183,Roma,Roma (RM),Lazio,F/9405,13878511008,"Via Cerveteri, 5/7/9/11, 00183 Roma, Italia"
TRECCA SNC DI FLAVIA E ILARIA MASTRANGELI,"Via Emanuele Filiberto, 145",185,Roma,Roma (RM),Lazio,F/9145,13556491002,"Via Emanuele Filiberto, 145, 00185 Roma, Italia"
VALENTINI MASSIMO,"Via G.Antamoro, 86/b",137,Roma,Roma (RM),Lazio,F/9114,825481005,"Via G.Antamoro, 86/b, 00137 Roma, Italia"
VALLE MASSIMO,"Via G. Ciaralli, 13",156,Roma,Roma (RM),Lazio,F/9176,7293750589,"Via G. Ciaralli, 13, 00156 Roma, Italia"
VILLAGGIO AZZURRO SNC DEL DR. MURDOCCO PAOLO & C.,"Largo Filippo Juvara, 5",128,Roma,Roma (RM),Lazio,F/9462,7114990588,"Largo Filippo Juvara, 5, 00128 Roma, Italia"
FARMACIA ZAFFIRI DEL DOTT. ZAFFIRI G.M. & C. SNC,"Via di Pietralata, 511",158,Roma,Roma (RM),Lazio,F/9300,14102581007,"Via di Pietralata, 511, 00158 Roma, Italia"
ZANOBI AIDA,"Piazza A.F.Doria Pamphili, 14",149,Roma,Roma (RM),Lazio,F/9584,3261470581,"Piazza A.F.Doria Pamphili, 14, 00149 Roma, Italia"
RE CLELIA,"Via Trionfale, 118",195,Roma,Roma (RM),Lazio,F/9703,5868660589,"Via Trionfale, 118, 00195 Roma, Italia"
GRIMALDI ENZO,"Viale Jonio, 235",141,Roma,Roma (RM),Lazio,F/9163,2477800581,"Viale Jonio, 235, 00141 Roma, Italia"
GUADAGNO ANGELO,"Via G. Curioni, 51/53",157,Roma,Roma (RM),Lazio,F/9359,5708010581,"Via G. Curioni, 51/53, 00157 Roma, Italia"
GUARNACCI SNC DI LAURA GUARNACCI E GIULIA BARBIERI,"Via Flaminia, 5/7",196,Roma,Roma (RM),Lazio,F/9165,10178441001,"Via Flaminia, 5/7, 00196 Roma, Italia"
IACOVELLI SALVATORE,"Via Annia Regilla, 202",178,Roma,Roma (RM),Lazio,F/9333,7419770586,"Via Annia Regilla, 202, 00178 Roma, Italia"
TRE MADONNE,"Via Bertoloni, 5",197,Roma,Roma (RM),Lazio,F/9229,12240221007,"Via Bertoloni, 5, 00197 Roma, Italia"
DEL LEONE SAS DI PONTECORVI ILARIA & C.,"Largo Beltramelli, 13 13/A",157,Roma,Roma (RM),Lazio,F/9307,12524611006,"Largo Beltramelli, 13 13/A, 00157 Roma, Italia"
SPINELLI MAURIZIO & C. SNC,"Via G. Ricci Curbastro, 3",149,Roma,Roma (RM),Lazio,F/9566,10707381009,"Via G. Ricci Curbastro, 3, 00149 Roma, Italia"
SAN PIO DOTT.RISOLIMANDO PAOLINO SAS,"Via S. Bernadette, 55",167,Roma,Roma (RM),Lazio,F/9681,12987941007,"Via S. Bernadette, 55, 00167 Roma, Italia"
ROSSI GIAMPIERO,"Via Edoardo Jenner, 109",151,Roma,Roma (RM),Lazio,F/9616,9151300580,"Via Edoardo Jenner, 109, 00151 Roma, Italia"
ROSSI GUENDALINA,"Viale Giulio Agricola, 96",174,Roma,Roma (RM),Lazio,F/9343,8727940580,"Viale Giulio Agricola, 96, 00174 Roma, Italia"
RUSSINO FRANCESCO,"Via Principe Eugenio, 53 - 55",185,Roma,Roma (RM),Lazio,F/9270,6677401009,"Via Principe Eugenio, 53 - 55, 00185 Roma, Italia"
DE REMIGIS MAURIZIO LUCIANO,"Via Tiburtina, 608/D",159,Roma,Roma (RM),Lazio,F/9367,13341481003,"Via Tiburtina, 608/D, 00159 Roma, Italia"
RUSSO LORETA,Viale Palmiro togliatti 944,171,Roma,Roma (RM),Lazio,F/9294,1936510583,"Viale Palmiro togliatti 944, 00171 Roma, Italia"
SABAUDIA DEL DR. MARCO MORI,"Via Sabaudia, 71",171,Roma,Roma (RM),Lazio,F/9558,2151230444,"Via Sabaudia, 71, 00171 Roma, Italia"
SAGRIPANTI FRANCA,"Via Tuscolana, 1258",174,Roma,Roma (RM),Lazio,F/9320,4970700581,"Via Tuscolana, 1258, 00174 Roma, Italia"
SAN GIORGIO SNC,"Via di Macchia Saponara, 64/T",125,Roma,Roma (RM),Lazio,F/9664,7029701005,"Via di Macchia Saponara, 64/T, 00125 Roma, Italia"
FARMACIE SANASI GIUSSANO SAS DI SANASI ARMANDO CARMELO ANTONIO,"Via A. da Giussano, 40",176,Roma,Roma (RM),Lazio,F/9474,11429971002,"Via A. da Giussano, 40, 00176 Roma, Italia"
AXA MADONNETTA SAS DEL DR. RICCARDO SANSONI,"Via Cesare Maccari, 312",125,Roma,Roma (RM),Lazio,F/17298,9258241000,"Via Cesare Maccari, 312, 00125 Roma, Italia"
SANTA RITA,"Viale XXI Aprile, 2e 2f",162,Roma,Roma (RM),Lazio,F/9257,10844240589,"Viale XXI Aprile, 2e 2f, 00162 Roma, Italia"
MORENA - DR. SACARNO SAS,"Via Stazione di Ciampino, 56-58",118,Roma,Roma (RM),Lazio,F/9318,11496381002,"Via Stazione di Ciampino, 56-58, 00118 Roma, Italia"
SEMPIONE SNC R. RINALDI E. RINALDI E F. SCARPELLINI,"Corso Sempione, 16",141,Roma,Roma (RM),Lazio,F/9125,6645591006,"Corso Sempione, 16, 00141 Roma, Italia"
SENATO,"Corso Rinascimento, 50",186,Roma,Roma (RM),Lazio,F/9255,10772830583,"Corso Rinascimento, 50, 00186 Roma, Italia"
LOMBARDI CHIARA,"Circonvallazione Ostiense, 142",154,Roma,Roma (RM),Lazio,F/9461,13944501009,"Circonvallazione Ostiense, 142, 00154 Roma, Italia"
DI SIENA CINZIA,"Via Gino Capponi, 65",179,Roma,Roma (RM),Lazio,F/9409,9483171006,"Via Gino Capponi, 65, 00179 Roma, Italia"
SORRENTINO LUCIA,"Viale Rossini, 70/72",198,Roma,Roma (RM),Lazio,F/9173,7097750587,"Viale Rossini, 70/72, 00198 Roma, Italia"
"SPARTIVENTO SNC DEI DR.I BIANCAPAOLA PETTINELLA, LANZELLOTTI F. E F.","Via A. Piola Caselli, 82/b-c",122,Roma,Roma (RM),Lazio,F/9580,7260581009,"Via A. Piola Caselli, 82/b-c, 00122 Roma, Italia"
EMILIANI ANTONIO MARIA,"Via S. Elpidio a Mare, 21",10,Roma,Roma (RM),Lazio,F/9330,7078810582,"Via S. Elpidio a Mare, 21, 00010 Roma, Italia"
ANGELONI GIOVANNA,"Via La Spezia, 96/98",182,Roma,Roma (RM),Lazio,F/9513,9016731003,"Via La Spezia, 96/98, 00182 Roma, Italia"
CANTU' DOTT. BORYSOWICZ STEFANO,"Piazza C. Cantu', 2",181,Roma,Roma (RM),Lazio,F/9553,6666191009,"Piazza C. Cantu', 2, 00181 Roma, Italia"
CARNOVALE FABRIZIO,"Via Pisino, 81/83 ang. Via Serenissima, 56",177,Roma,Roma (RM),Lazio,F/9476,8803940587,"Via Pisino, 81/83 ang. Via Serenissima, 56, 00177 Roma, Italia"
PORTUENSE,"Via Portuense, 423",149,Roma,Roma (RM),Lazio,F/9576,2111790586,"Via Portuense, 423, 00149 Roma, Italia"
MEDIATI DR.SSA MARIA GRAZIA,"Via Castelforte, 29",171,Roma,Roma (RM),Lazio,F/9534,13400561000,"Via Castelforte, 29, 00171 Roma, Italia"
CECCARELLI MARIA GRAZIA,"Via Bartolo Longo, 7",156,Roma,Roma (RM),Lazio,F/9356,9457540582,"Via Bartolo Longo, 7, 00156 Roma, Italia"
CELLI SAS,"Viale Carlo Marx, 195",137,Roma,Roma (RM),Lazio,F/9331,11495281005,"Viale Carlo Marx, 195, 00137 Roma, Italia"
ALBANESE MARIA NICOLETTA,"Viale Alessandrino, 273",172,Roma,Roma (RM),Lazio,F/9386,10852440584,"Viale Alessandrino, 273, 00172 Roma, Italia"
AMOROSO SACCHETTA GIOVANNI,"Via G. Branca, 62",153,Roma,Roma (RM),Lazio,F/9082,1241670585,"Via G. Branca, 62, 00153 Roma, Italia"
ANGELINI LINO,"Via Numitore, 9/11",181,Roma,Roma (RM),Lazio,F/9412,449610583,"Via Numitore, 9/11, 00181 Roma, Italia"
ANGELINI MARIANO,"Piazza S. Giovanni Bosco, 39/42",175,Roma,Roma (RM),Lazio,F/9324,5140350587,"Piazza S. Giovanni Bosco, 39/42, 00175 Roma, Italia"
ANNIA REGILLA,"Via A. Regilla, 103/105",178,Roma,Roma (RM),Lazio,F/9368,5199381004,"Via A. Regilla, 103/105, 00178 Roma, Italia"
PELAGALLI GAETANO,"Via dei Pioppi, 5/c",172,Roma,Roma (RM),Lazio,F/9322,4001430588,"Via dei Pioppi, 5/c, 00172 Roma, Italia"
PERCIBALLI PAOLO,"Via Silvio d'Amico, 15/17",145,Roma,Roma (RM),Lazio,F/9431,9068251001,"Via Silvio d'Amico, 15/17, 00145 Roma, Italia"
PERLINI MARINA SAS,"Via del Pianeta Giove, 68",144,Roma,Roma (RM),Lazio,F/9522,12134011001,"Via del Pianeta Giove, 68, 00144 Roma, Italia"
FARMACRIMI AXA,"Via Giuseppe Cei, 45",177,Roma,Roma (RM),Lazio,F/9473,8690670586,"Via Giuseppe Cei, 45, 00177 Roma, Italia"
PERUZZI PAOLA,"Circonvallazione Ostiense, 218",154,Roma,Roma (RM),Lazio,F/9538,10826510587,"Circonvallazione Ostiense, 218, 00154 Roma, Italia"
PICCIONI TITO,"Via Val Sassina, 36",141,Roma,Roma (RM),Lazio,F/9122,9250861003,"Via Val Sassina, 36, 00141 Roma, Italia"
PIRAM ALBERTO,"Via Nazionale, 228",184,Roma,Roma (RM),Lazio,F/9087,9709071006,"Via Nazionale, 228, 00184 Roma, Italia"
PONTE MAMMOLO SNC,"Via Casal De' Pazzi, 64",156,Roma,Roma (RM),Lazio,F/9375,5371151001,"Via Casal De' Pazzi, 64, 00156 Roma, Italia"
POTESTIO PIERGIORGIO,"Via Tuscolana, 855/d",174,Roma,Roma (RM),Lazio,F/9362,7685331006,"Via Tuscolana, 855/d, 00174 Roma, Italia"
CONTI MAURIZIO & GIANMARCO SNC,"Via Prenestina, 144/A",176,Roma,Roma (RM),Lazio,F/9454,8759731006,"Via Prenestina, 144/A, 00176 Roma, Italia"
ROMA EST SAS DI ALICE BALESTRIE & C.,"Via Torrenova, 212 (ang. Via Teseo 1)",133,Roma,Roma (RM),Lazio,F/9315,9088881009,"Via Torrenova, 212 (ang. Via Teseo 1), 00133 Roma, Italia"
IURLO RITA,"Via A. Cabrini, 32",139,Roma,Roma (RM),Lazio,F/9212,9323110586,"Via A. Cabrini, 32, 00139 Roma, Italia"
FARMACIA VIII COLLE DELLA D.SSA ANTONELLA IZZO,"Via P. di Dono, 35",143,Roma,Roma (RM),Lazio,F/9436,12458911000,"Via P. di Dono, 35, 00143 Roma, Italia"
IZZO SILVIA,"Viale Vicopisano, 62",146,Roma,Roma (RM),Lazio,F/9608,8068060584,"Viale Vicopisano, 62, 00146 Roma, Italia"
JUCCI MARIA CLOTILDE,"Piazza dei Cinquecento, 49-ang.Via Cavour, 2",184,Roma,Roma (RM),Lazio,F/9187,8042670581,"Piazza dei Cinquecento, 49-ang.Via Cavour, 2, 00184 Roma, Italia"
LA DONNA ANGELA,"Via Morozzo della Rocca, 34",159,Roma,Roma (RM),Lazio,F/9501,9671210582,"Via Morozzo della Rocca, 34, 00159 Roma, Italia"
LA.LI.FAR. DI LAUCIANI LILIA,"Via Angelo Emo, 18",136,Roma,Roma (RM),Lazio,F/9780,13608451004,"Via Angelo Emo, 18, 00136 Roma, Italia"
LENZI MICHELE,"Corso Trieste, 78",198,Roma,Roma (RM),Lazio,F/9232,9858850580,"Corso Trieste, 78, 00198 Roma, Italia"
LEONE ALESSANDRO,"LARGO PORTA CAVALLEGGERI, 3",165,Roma,Roma (RM),Lazio,F/9784,4715260586,"LARGO PORTA CAVALLEGGERI, 3, 00165 Roma, Italia"
LICARI FRANCESCA,"Via Federico Ozanam, 57/a",152,Roma,Roma (RM),Lazio,F/9650,10655630589,"Via Federico Ozanam, 57/a, 00152 Roma, Italia"
LIPPI TULLIA,"Via Arenula, 73",186,Roma,Roma (RM),Lazio,F/9160,5614330586,"Via Arenula, 73, 00186 Roma, Italia"
LO GIUDICE GIUSEPPE,"Viale Eritrea, 32 a",199,Roma,Roma (RM),Lazio,F/9193,8595080584,"Viale Eritrea, 32 a, 00199 Roma, Italia"
LOIACONO ANNA,"Via Fosso dell'Osa, 338",132,Roma,Roma (RM),Lazio,F/9444,3628200580,"Via Fosso dell'Osa, 338, 00132 Roma, Italia"
LOLLI GHETTI DOTT. MASSIMO,"Via dei Platani, 142",172,Roma,Roma (RM),Lazio,F/9295,13704751000,"Via dei Platani, 142, 00172 Roma, Italia"
LOMBARDI MAURIZIO,"Via Prenestina, 423",177,Roma,Roma (RM),Lazio,F/9448,4798330587,"Via Prenestina, 423, 00177 Roma, Italia"
LUCIDI SILVIA,"Via Q. Sella, 28",187,Roma,Roma (RM),Lazio,F/9207,1444360588,"Via Q. Sella, 28, 00187 Roma, Italia"
MACALUSO PIETRO,"Via delle Rondini, 64",169,Roma,Roma (RM),Lazio,F/9336,3754821001,"Via delle Rondini, 64, 00169 Roma, Italia"
ISTRIA,"Piazza Istria, 8",198,Roma,Roma (RM),Lazio,F/9151,11211951006,"Piazza Istria, 8, 00198 Roma, Italia"
MALATESTA CLAUDIO,"Piazza Accademia Antiquaria, 1/2",147,Roma,Roma (RM),Lazio,F/9458,6871950587,"Piazza Accademia Antiquaria, 1/2, 00147 Roma, Italia"
EREDI MANCINI DI LORENZO MANCINI,"Viale XXI Aprile, 31",162,Roma,Roma (RM),Lazio,F/9115,13104841005,"Viale XXI Aprile, 31, 00162 Roma, Italia"
MARCHESE MARIO GIUSTINO,"Via G. Marconi, 174 - 174/A",146,Roma,Roma (RM),Lazio,F/9642,8767930582,"Via G. Marconi, 174 - 174/A, 00146 Roma, Italia"
Marchetti Andrea,"Via Marco Papio, 41",175,Roma,Roma (RM),Lazio,F/9281,11248461008,"Via Marco Papio, 41, 00175 Roma, Italia"
MARCHETTI LUISA,"Via Simone Saint Bon, 91",195,Roma,Roma (RM),Lazio,F/9712,6749270580,"Via Simone Saint Bon, 91, 00195 Roma, Italia"
MARINI DOTT. LUCA,"Via Tor de Schiavi, 281",171,Roma,Roma (RM),Lazio,F/9414,10465511003,"Via Tor de Schiavi, 281, 00171 Roma, Italia"
MARINI MARIA RITA,"Via Corfinio, 1",183,Roma,Roma (RM),Lazio,F/9450,5039790588,"Via Corfinio, 1, 00183 Roma, Italia"
MARTELLI LUIGI ANTONIO,"Largo N. Cannella, 7",128,Roma,Roma (RM),Lazio,F/9470,8549620584,"Largo N. Cannella, 7, 00128 Roma, Italia"
MAZZEI STEFANO,"Viale Angelico, 79",195,Roma,Roma (RM),Lazio,F/9787,7104801001,"Viale Angelico, 79, 00195 Roma, Italia"
TUPPUTI PAOLO,"Via Roberto Malatesta, 35",176,Roma,Roma (RM),Lazio,F/9427,10417101002,"Via Roberto Malatesta, 35, 00176 Roma, Italia"
MERULANA DI G. GUERRA-B. DEL PIO SNC,"Via Merulana, 185/187",185,Roma,Roma (RM),Lazio,F/9211,4211761004,"Via Merulana, 185/187, 00185 Roma, Italia"
CASALBERTONE DELLA DR.SSA FILARDI GEMMA,"Via A. Baldissera, 1/c",159,Roma,Roma (RM),Lazio,F/9317,13479801006,"Via A. Baldissera, 1/c, 00159 Roma, Italia"
ROMANINA DELLA DR.SSA MAGALI STEINDLER & C. SAS,"Via Ponte delle Sette Miglia, 35",173,Roma,Roma (RM),Lazio,F/9383,9394311006,"Via Ponte delle Sette Miglia, 35, 00173 Roma, Italia"
MORREALE MARCO,"Via del Tritone, 16",187,Roma,Roma (RM),Lazio,F/9234,9823070587,"Via del Tritone, 16, 00187 Roma, Italia"
DIVINO AMORE SNC,"Via Davide Carazzi, 31",134,Roma,Roma (RM),Lazio,F/9523,9823070587,"Via Davide Carazzi, 31, 00134 Roma, Italia"
SAN FRANCESCO DOTT.SSA FRANCESCA DONATI,"Via Valtellina, 94",151,Roma,Roma (RM),Lazio,F/9610,12989621003,"Via Valtellina, 94, 00151 Roma, Italia"
BONANZINGA VITTORIA,"Via Casilina, 1914/c",132,Roma,Roma (RM),Lazio,F/9328,1219680830,"Via Casilina, 1914/c, 00132 Roma, Italia"
DUE PINI DR.SSA GALLI MARIA ROSARIA,"Via del Golf, 12",194,Roma,Roma (RM),Lazio,F/10484,7378321009,"Via del Golf, 12, 00194 Roma, Italia"
ANTICA FARMACIA TORRE ARGENTINA SAS DI BORBOTTI GIUSEPPINA,"Largo Arenula, 36",186,Roma,Roma (RM),Lazio,F/9106,10017011007,"Largo Arenula, 36, 00186 Roma, Italia"
CASE ROSSE DEL DOTT. GINALDO FRANCO E C. SAS,"Via Castropignano, 12",131,Roma,Roma (RM),Lazio,F/9398,5192341005,"Via Castropignano, 12, 00131 Roma, Italia"
EREDI DR.SSA BOSCARINO LUCIA,"Via Chelini, 34 (Piazza Euclide)",197,Roma,Roma (RM),Lazio,F/9194,13656371005,"Via Chelini, 34 (Piazza Euclide), 00197 Roma, Italia"
TORELLI SILVIA,"Via Portuense, 718",148,Roma,Roma (RM),Lazio,F/9574,9847361004,"Via Portuense, 718, 00148 Roma, Italia"
ESQUILINO SNC-SCIARRA MARIA PIA,"Via Gioberti, 79",185,Roma,Roma (RM),Lazio,F/9216,4377131000,"Via Gioberti, 79, 00185 Roma, Italia"
F.LLI MATALONI LIVIO E GIULIANA SNC,"Via Marco Decumio, 18",174,Roma,Roma (RM),Lazio,F/9379,5555961001,"Via Marco Decumio, 18, 00174 Roma, Italia"
PALERMO SAS DEL DR. ANTONINO PALERMO & C.,"Viale Francesco Caltagirone, 452",132,Roma,Roma (RM),Lazio,F/9434,10668981003,"Viale Francesco Caltagirone, 452, 00132 Roma, Italia"
FARMACIA SNC FANELLI SERENELLA,"Via Casalotti, 1/c 1/d",166,Roma,Roma (RM),Lazio,F/9751,4765031002,"Via Casalotti, 1/c 1/d, 00166 Roma, Italia"
